UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact
Mar_22_T1_10_FLM30_stem,15.58889618775043,2621.5378832539195,4655.192516645454,5.680599534613224,52.55011640739426,61.15502261937263,416.1212118002707,0.2672552632024369,1.7143950410834279,0.9895267944311543,1.8458507447246203e-36,22.527939553764536,2486.164035136057,6314.22438644274,8.209189502812182,4.310377111773025,5.3438059100002455,238.2708720661803,0.12159611415516997,0.5397569265709904,0.99992003191104,0.0021444775550651988,2487.43,4551.21,0.006879696060977862,0.9,2.744234317656725,37,6.31177726068136,1,1.4451273061569763
Mar_22_T1_11_FLM30_stem,0.4156334506983099,1898.485049199992,1955.7503880496215,0.1514956054223002,2.5304984747252743,3.184227022352597,207.70326605725595,0.012833897098448534,3.0877921584237686,0.9650036421642155,9.379929364359926e-29,0.7636723932215601,1891.6954267671858,1972.2280019281268,0.2783534659229669,1.157895322002688,1.442652172764398,148.43936626340022,0.036179563746069114,4.737576487928972,0.9928164673555786,0.0034564083585640875,1892.5700000000002,1950.61,0.006514990057860402,0.9,2.743534702143436,39,0.16832845046922243,1,1.8373699035496456
Mar_22_T1_12_FLM30_stem,0.686746533038909,1955.4266613492355,2055.075381008688,0.2503736674860623,3.0359452928710695,3.671078600210238,229.6414206344298,0.013706633298629428,1.9958795041856954,0.9843096176185931,5.096254638020175e-37,1.0004463310884335,1948.594959538025,2133.685035466995,0.3647421646661516,1.6162498421479585,1.9435351921900528,179.95377429401296,0.03801443286043852,3.799747340677515,0.9956022455242453,0.0019706197797775215,1953.65,2047.8700000000001,0.006186961854721342,0.9,2.7428864222597946,41,0.2781929638734026,1,1.4567912365882323
Mar_22_T1_13_FLM30_stem,0.3571990551867025,1894.6570645650356,1934.7948302737855,0.13031742113230443,2.5697221735295344,2.9135771494561635,166.10963056574357,0.01588791381806001,4.4479159693621355,0.9421058461582918,2.4968538259252572e-20,0.35783451405452127,1894.6431235121972,8582.5744087164,0.13054925646245813,2.5758054384984277,2.920178506574748,168.87881140179934,0.06332287950233349,17.69613522877934,0.9418468638135349,1.9520125266728434e-5,1895.1,1938.07,0.007983472881764007,0.9,2.7409923560723093,32,0.14479713459144938,1,1.0017790048954263
Mar_22_T1_14_FLM30_stem,0.12236037603102107,1873.9676501699428,1895.7383808578143,0.04461215304891712,1.6314380074677683,1.908475823883373,213.04608500308728,0.005262973104990301,4.301207037526609,0.9167416349978763,8.956056903262129e-28,0.28924591228619345,1869.970238465667,1897.0044781363972,0.10545801938704323,0.7609503331696351,1.0053903395614738,151.32032857713935,0.020863573038521693,7.213091750758537,0.9768940425942457,0.003900905691134426,1871.02,1890.72,0.005048022358894654,0.9,2.7427588149994286,50,0.04956905894324125,1,2.363885447792864
Mar_22_T1_15_FLM30_stem,2.2729210329208636,2380.7018212915295,2698.3363637666343,0.759891249940442,17.59334793614803,19.95013260802642,386.0623764395944,0.07550911299804171,3.3221177464756524,0.9556535110442995,1.40646009319246e-29,4.565985731984198,2336.049540063605,2757.8241778466436,1.5265170038173075,5.705154907479461,6.980028805618331,298.18390718803494,0.17571753345007163,3.8484030341836326,0.9945714718106438,0.0036192716846159675,2332.77,2677.33,0.006424826293902218,0.9,2.991113574605588,43,0.8443236110449354,1,2.008862457538432
Mar_22_T1_16_FLM30_stem,0.37917779483754427,1917.19143826147,1989.464622065494,0.12746593263496298,6.860448125020408,7.866451362284787,410.3037325355743,0.018776136548928256,4.95180277024733,0.8771086700012346,2.2089646406966997e-27,0.37941719120801687,1917.1819206951964,22307.28799298578,0.127546409081757,6.867060082441965,7.875413111819729,412.7460813025036,0.0747673946106221,19.705853172485956,0.8768311487027242,6.255308757568846e-6,1930.55,1998.49,0.004713493823536753,0.9,2.9747383241876393,58,0.14162881403884775,1,1.0006313565133085
Mar_22_T1_17_FLM30_stem,-0.05667870984672518,1859.360916393826,1853.660149435971,-0.019130090462600523,1.0716584110902234,1.3782611289783577,114.75408244423038,0.008528097710274022,-15.046386435641079,0.5900005489496647,2.7522405070183813e-7,-0.05667461192118906,1859.361436351691,74.50475314334193,-0.019128707338559293,1.0721431262795558,1.3786053966640492,117.419139772822,0.03319449677420549,-58.5703115539023,0.5898002614044354,1.0717223135347036e-5,1859.55,1854.3,0.00891813933557719,0.9,2.9628040681528662,31,0.021255656069556136,1,0.9999276990328961
Mar_22_T1_18_FLM30_stem,6.022234994529092,2182.1128735212246,3069.9684298209363,2.027067480136328,43.620058209386634,47.7912015364386,482.3055737272271,0.16758324377332573,2.782741688518747,0.967025896658035,1.0364101740187367e-33,10.515146445087558,2086.600511781197,3391.873916623466,3.5393689264984953,22.217333503918994,25.082397804954077,426.6994365591789,0.5274275792823007,5.015884296397061,0.9909172952108246,0.0027115920031529316,2127.17,3038.63,0.00609070381895339,0.9,2.970909973911709,45,2.252297200151476,1,1.7460538246415256
Mar_22_T1_19_FLM30_stem,0.9622844581908659,1884.5693439898412,1977.4628467842276,0.3214308055169082,2.246642898243469,2.5723330528640065,148.7481863018161,0.016897153365846455,1.7559416264099075,0.9911348752659621,1.7000213511382586e-30,1.3263434644394558,1879.2814438790126,2071.7942903783864,0.44303702978677884,0.569915621254601,0.7291754977576186,75.78586169539821,0.023931010544751895,1.8042845753279833,0.9992876480987153,0.0023013374839284807,1879.65,1973.35,0.009290957778171684,0.9,2.9937530618553203,30,0.35714533946323135,1,1.3783278459396877
Mar_22_T1_20_FLM30_stem,0.17374115422931527,1880.0370297013856,1906.0554953826306,0.058076932324207804,4.562511996702305,4.981800133278715,284.8465730668249,0.017015661140425634,9.793684873284093,0.6964742476324262,3.498529015018068e-13,0.827535703804679,1868.854514594442,1901.7568382048503,0.27662263025083983,2.0957412744948978,2.689154130319072,230.52681070203525,0.11529251084831431,13.93202859021615,0.9115588595935611,0.008407388898312737,1874.85,1898.9199999999998,0.005996463608063436,0.9,2.9915690666894257,46,0.06452992480467534,1,4.763037908177136
Mar_22_T1_21_FLM30_stem,2.9444696719787595,3287.8223255664084,3753.019174001932,0.9940103599049647,21.933321241375797,28.398646101519162,464.01233500181394,0.09000623960680264,3.0567894946703977,0.9578932145537078,1.668125907353499e-33,4.96177988951816,3241.645449507155,3947.6977723880264,1.6750251023759708,17.68853844595453,21.49173455133832,439.6445002333256,0.39855897505473886,8.032580725652524,0.9758843067062434,0.0023723809809752428,3219.83,3747.7999999999997,0.005684415845536245,0.9,2.9622122572849987,48,1.1044559554499607,1,1.6851183548389943
Mar_22_T1_22_FLM30_stem,-0.003743262952463353,1934.7202380799579,1934.2312030598791,-0.0012603995362851998,4.42194855026546,5.25855560793705,252.97026050614684,0.0220705284010543,-589.6066795556056,-0.025539463662707984,0.8662208068882562,-0.004574733521831233,1934.742475958666,1933.0205342799393,-0.001540365206176601,4.422260042126117,5.258427096762751,255.44449587900903,0.0992980120183787,-2170.574778716956,-0.02548933887551108,8.945513226182767e-4,1926.75,1946.06,0.0068712382829577276,0.9,2.9699018800783956,40,0.0014004439292057776,1,1.2221245421245945
Mar_22_T1_23_FLM30_stem,0.1421319242880353,1886.858985423036,1905.7616199842953,0.047494056686580924,3.869396915924792,5.048132460437352,255.76111430769407,0.020546216698459168,14.455736669561684,0.5394576964552845,2.780646929890206e-8,1.4315150125712444,1872.1915295263093,1900.8875659382702,0.47834753167043104,2.1233289456115805,2.5271779442956057,201.48653677131117,0.2359880208448783,16.485193572717318,0.884580366724089,0.016669463503714024,1875.21,1902.53,0.00675028304230572,0.9,2.992625482088869,41,0.05277117409620102,1,10.07173455043238
Mar_22_T1_24_SRS6_stem,0.3529571257539861,1893.0938596505716,1927.249567268962,0.11859620700829976,1.4585444943100052,1.7372449059720085,125.19741717364272,0.011356589688589103,3.2175550116261817,0.9708230523310528,3.002403335270706e-23,0.6181423727811957,1889.4536762288972,1939.4393360399038,0.20770041303559764,0.5432889063732015,0.682262537794557,71.79586744611778,0.02673432328656706,4.324945912748523,0.9954999140019245,0.004155199987774554,1888.9199999999998,1925.2,0.009268209058215434,0.9,2.9761249086936226,30,0.13177356334255527,1,1.7513242478409283
Mar_22_T1_25_SRS6_stem,4.117952536349753,1972.605890581553,2301.4242886360685,1.375809196880817,8.478644456846723,10.161222708982736,194.01872281717718,0.08833003897483357,2.144998957494817,0.9890731813600994,2.8091699701369754e-24,5.613314903211065,1954.7908509801105,2652.906292735024,1.8754102191939412,4.169900749509143,5.722161319620342,168.16425601541803,0.24670920196969526,4.395071472447888,0.9965348503987754,0.002686389824696556,1954.1100000000001,2286.73,0.011224174141532,0.9,2.993113104408533,25,1.52867688542313,1,1.36313249209687
Mar_22_T1_26_SRS6_stem,0.034862122712669606,1832.3278405939807,1837.2102950767758,0.01168051311673456,0.5359089096130256,0.6851749337464719,96.12912425014413,0.0025877795927709006,7.422897378048781,0.8112276428698781,1.1941832679764093e-16,0.0556775061925827,1831.900934698752,1839.784225115846,0.018654682812908132,0.5112651283948517,0.6623588098809219,95.65382938895156,0.014045780547908457,25.227028845950038,0.8235904467808309,0.002366357425125116,1830.92,1836.68,0.006410920513555899,0.9,2.9846396613110238,43,0.012978347907482844,1,1.597077339537571
Mar_22_T1_28_SRS6_stem,0.23667207589562597,1838.6890625180417,1870.9843446740176,0.07915510332347019,1.0948143990818349,1.280925851895611,146.61939934988297,0.0050233057463297814,2.1224750437162236,0.9818568443410236,1.1525696021481101e-36,0.3470537589143768,1836.4351382296259,1895.678757287006,0.11607231669265936,0.6342253317610206,0.7950727189174541,109.00889522361213,0.016415357979786303,4.729917932926412,0.9930099778989144,0.0019592374426052215,1836.6299999999999,1870.23,0.006579415314620777,0.9,2.989978737422109,42,0.08795011480385577,1,1.4663908177635199
Mar_22_T1_29_SRS6_stem,0.10747479034100979,1843.6665701944953,1854.0138729248167,0.03592813448028267,0.9692739765620293,1.1671064765541668,101.33104423686233,0.007661783902852638,7.1289126301548,0.8709777679008338,3.4457252504192826e-14,0.29445511403068364,1841.35296635589,1853.8467307984272,0.09843445985550896,0.49854150750203036,0.6358858435617206,67.57213861182109,0.034604589219430645,11.752076146935142,0.9616997237877861,0.007878687028896717,1841.33,1852.68,0.009315723840332447,0.9,2.991382433173419,30,0.0399201494225363,1,2.7397598366686617
Mar_22_T1_30_SRS6_stem,0.3642312852447997,1863.8637210755091,1923.1617608266672,0.12176188860607423,2.3276630328515466,2.7161735107556226,248.33800168319462,0.008173116338034813,2.243935836687303,0.9759095374592061,1.0313377668582168e-40,0.6264773712132479,1857.6873853431132,1946.0421088687272,0.20943030150917769,0.5404621962047031,0.6968189934860662,114.65978264384765,0.012458133333406242,1.9886006910799645,0.9984144860062819,0.0023703350896510248,1858.59,1918.4399999999998,0.0055168167458328875,0.9,2.991340635518277,50,0.1352909873400825,1,1.7199987936022374
Mar_22_T1_31_SRS6_root,0.2724176529153382,1843.7527386642391,1870.0725946690934,0.09107216610676203,1.2024767265024139,1.5226879233712338,117.28801754159714,0.00999469867557976,3.6688880359327913,0.9623816817952094,1.0573183209270294e-21,0.47737835836035564,1840.92933344849,1879.4858383403064,0.15959274548877742,0.6200939924850217,0.8119052173743974,82.23401161197671,0.03175972713371865,6.652946573196848,0.9893048166650522,0.004139191193199965,1841.0500000000002,1866.4,0.009283122729983308,0.9,2.9912284352168435,30,0.10119129567418002,1,1.7523767393617293
Mar_22_T1_40_FLM30_stem,12.44980175239934,2278.7866477979123,3707.47579728009,4.214422269858931,15.69074033133971,18.958736266596375,312.0584298127012,0.09694841381000215,0.7787145188180858,0.9979423707737525,3.948554293747031e-46,13.406917819908506,2261.266104146863,12565.317425024581,4.538418695663306,13.598612382350698,16.963939471220694,306.8353225050146,0.36208144244384627,2.700706063150294,0.9983525896962219,4.404499312292551e-4,2231.43,3675.2,0.007819661977294865,0.9,2.9540945247558383,35,4.6826914109543685,1,1.0768780167382752
Mar_22_T1_41_FLM30_stem,1.94177900864922,1851.8702808246428,2041.870367343532,0.6597225226350325,8.092131442966714,10.988874674876019,235.87239098348132,0.07104400807005555,3.658707183134946,0.9625826498091512,9.80835520367854e-22,1.9540941131939156,1851.6708189775545,15811.975513188685,0.6639065990930392,8.087858219050434,11.003265380377972,238.62783688275684,0.2835888404401447,14.512547708187206,0.96248528950564,4.755674132014747e-5,1845.15,2039.46,0.009166069747839107,0.9,2.943326841250558,30,0.7330250251500362,1,1.0063421761641467
Mar_22_T1_42_FLM30_stem,0.6761468310058412,1864.1419055693987,1952.6898458692865,0.22821634097909232,2.1261938912707707,2.7771483941071167,201.8957208220683,0.01162176598892111,1.7188228142151436,0.9886059432560538,9.419845827591355e-39,0.8297195252984388,1861.0170315273663,2120.5126854474183,0.2800509377834876,1.9608941883765396,2.3274018074456717,190.23814310210136,0.044846270338870564,5.404991562991117,0.9919975505481108,0.0010792124397958835,1861.51,1947.43,0.00685468002818594,0.9,2.962745034404812,40,0.2535737121989915,1,1.2271292081102292
Mar_22_T1_43_FLM30_stem,4.272434588908045,2190.3776584260827,2549.8016038031833,1.443469660148999,5.202577468954045,6.47163496016049,177.98200912918222,0.05241968459744076,1.226927727191682,0.9962501689958705,7.64592028825739e-31,4.972051424252084,2181.2386060325994,3537.862333855836,1.679839733121066,3.791281874677592,4.732724206369166,164.52361653226762,0.16896925156058862,3.398381013044443,0.9979945766598718,0.001238250296429979,2173.5099999999998,2536.9,0.010655412402974452,0.9,2.9598367786040147,26,1.603855177943332,1,1.1637513274422882
Mar_22_T1_44_FLM30_stem,-0.2152665719003734,1838.9181696900182,1817.9361500240925,-0.07260214417275293,15.34277375398189,22.351054288413962,278.47179841664587,0.14541043811608842,-67.54900997047754,0.03946806180910567,0.14993015917093763,-2.0147668534195997,1852.857102769068,1823.7801001752146,-0.6795128118366242,15.684265977085731,22.01864796437232,280.2496957360638,3.2550916598503874,-161.56170399198416,0.06782579912015396,0.02336942432918674,1837.1299999999999,1811.22,0.009201776049827373,0.9,2.9650167271665984,30,0.0806690490808366,1,9.359404182605951
Mar_22_T1_45_FLM30_stem,12.30763624768804,2370.8315853549084,3703.4610668234372,4.177521885481281,13.988852194746675,17.065698730290496,287.72418416370397,0.09526916226433983,0.7740654691694835,0.998086187009181,6.4396132239059e-44,12.87953728419824,2360.9100709390777,17639.80536936676,4.371639508741359,13.293081102595062,16.35162931793108,287.50413258025463,0.3728533759543111,2.8949283481772343,0.998242993307034,2.861227479706098e-4,2371.67,3675.2,0.008286067169851507,0.9,2.9461572159472027,33,4.64169098386809,1,1.0464671708686248
Mar_22_T1_46_FLM30_stem,4.469002356337963,2047.44627763823,2770.265470746074,1.5153442203518739,33.25103814574546,40.633122430330125,508.6384982137479,0.1242556784038006,2.7803896372437693,0.9641942243376487,7.482344194115956e-36,8.74858829914397,1950.907480979905,2922.0918018787434,2.9664613393064165,6.579039591841142,7.860633493588894,350.0280527966701,0.15669739459702858,1.791116340591328,0.9986599907758874,0.0030544782030263156,1940.69,2703.6,0.005552823886515511,0.9,2.949166464171572,49,1.6837158003909711,1,1.9576155037682348
Mar_22_T1_47_FLM30_stem,21.697116079628163,3955.7264714954104,5995.29175784191,7.310269843535842,78.93719834647779,91.35541764693403,351.11437500349865,0.6268412836196002,2.8890534636912117,0.977144502807077,6.6052875664856495e-24,36.63542790486645,3754.6359070197873,6846.977752413758,12.343339217760517,7.742523768562462,9.857336727425553,224.68163094673486,0.3924302176538955,1.0711768364571697,0.9997339022250175,0.003991583025061044,3773.39,5816.6,0.009540103409126054,0.9,2.9680321717281055,29,8.122522048373158,1,1.688492967010678
Mar_22_T1_48_FLM30_stem,0.39576428636213545,1847.3736495063558,1900.8085187476638,0.13425846543042205,3.715857950601575,4.559031781436298,247.40465070404892,0.01828965622789916,4.6213508540696395,0.9211407935011203,2.4793089120623096e-23,1.027300089051967,1836.2821095015581,1900.9261103007047,0.34849969601968817,1.0437471079039213,1.3301779122259454,148.85971238792132,0.04301854006009386,4.1875339560997284,0.9932868457311288,0.0053910601403291975,1835.57,1894.05,0.006649125587331851,0.9,2.9477790103837873,41,0.14917607270046895,1,2.595737221503505
Mar_22_T1_49_FLM30_stem,0.09427368456482343,2042.2839659637539,2056.9866506465414,0.03210193162180671,5.566055158007599,6.99154555893395,322.74031598620223,0.022685999532390033,24.063978868663966,0.2612686518613202,1.4325172481987881e-4,0.14391609892054583,2041.1449361000596,2066.289872917348,0.049006091022652125,5.609419437080857,6.980206893485737,324.9819874537604,0.12319262446892452,85.60030836921,0.26366281074745945,0.0019489446873041211,2041.4599999999998,2056.47,0.005758231749713234,0.9,2.9366981923537496,47,0.03566881291311857,1,1.5265776402489903
Mar_22_T1_50_FLM30_stem,0.3293906624845675,1919.46430516238,1989.3589711446316,0.11328146836669609,6.296993708586129,7.978649208891148,446.86594460297135,0.01642535638942777,4.986588346352206,0.8661354018716343,1.5312306868701944e-28,0.6914462341360582,1908.6869233803054,1999.9527838972588,0.23779679760419684,5.219725169850963,6.485446048523765,423.0405455756307,0.09209999515498922,13.319906972964493,0.911552268661623,0.002605539423583523,1903.5200000000002,1974.69,0.004234542034605716,0.9,2.9077188637625917,63,0.1258682981852179,1,2.099167684112641
Mar_22_T1_51_FLM30_stem,0.553448294597173,1859.8265267967245,1946.946646088291,0.19021860107328897,3.448823265809237,4.074640223961482,271.98791235061736,0.01309840990340994,2.366690805858135,0.9748678283830927,7.387539825569859e-38,0.5563919094963151,1859.7481616677628,9307.714399204853,0.19123031312241695,3.4606669412495106,4.08419838760845,274.6023978093611,0.05233903282202313,9.406864465265874,0.9747506244436351,2.5675507517560046e-5,1859.96,1940.25,0.005704976949578916,0.9,2.909538244285247,47,0.2113540011925433,1,1.0053186809461299
Mar_22_T1_78_BL60_stem,57.94066721086228,1656.3661280163476,5263.964186197115,20.154179095981938,35.560541612274726,52.06975852623934,211.7178687896424,0.6663533040310499,1.150061495850581,0.9976245863150615,5.8016577801882245e-24,59.03539683682695,1645.5780122416736,98627.76301572277,20.534971689603175,32.38796524103255,51.793535959601954,214.77289053497404,2.653942188808008,4.495510034672027,0.9976498644526993,2.1173962711673377e-4,1810.3400000000001,5232,0.014374355545548787,0.9,2.8748711091097574,19,22.39353232886882,1,1.0188939768674157
Mar_22_T1_79_BL60_stem,0.003867003744092515,1829.8265328023404,1830.3100188861704,0.0013505197872350375,1.4407085854974706,1.72488117867552,152.07042848200572,0.007859130973332977,203.23567013192303,-0.021505441347743792,0.6257634651060222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1831.48,1829.38,0.00717830160453363,0.9,2.863344751141748,37,0.001500577541372264,1,NA
Mar_22_T1_80_BL60_stem,0.0418457204736977,1824.6037964684042,1830.1548495572754,0.014306837857915419,0.8773873728334252,1.0931389641213998,127.3060166194841,0.004519277155207754,10.799855048614504,0.6848133593708579,2.7708587070326465e-11,0.04196684383113617,1824.6010374308287,2541.793919333112,0.014348249314476853,0.877742699137167,1.0934623352567072,129.8058691057736,0.01797112096645384,42.82218848471195,0.684628435583633,2.0006123424453872e-5,1823.71,1831.1599999999999,0.006767064290927602,0.9,2.9248755657453747,40,0.01589648650879491,1,1.0028945219742267
Mar_22_T1_81_BL60_stem,2.4831361525983264,1941.5470476928228,2131.3920559353824,0.8668721837559795,4.300886476446857,5.271212898947353,148.99831285521822,0.04999370111024292,2.0133290338481866,0.9911575843092286,2.912067151893527e-23,2.6702310623795733,1939.301418673216,3333.255475184366,0.9321877214650117,4.457895855022669,5.136233358130479,150.7641148015507,0.20216109004493843,7.570921217011939,0.9916046403179043,6.687363310941054e-4,1947.46,2117.29,0.011718318399162094,0.9,2.8644778309062895,23,0.9631913152844215,1,1.0753462147395634
Mar_22_T1_82_BL60_stem,4.183434113057426,1894.982807647205,2286.4428375679613,1.45524174691731,14.95818630671064,17.994931601875063,248.30560573150046,0.1262156936850727,3.0170355328682135,0.9759914426397243,8.446461670383697e-23,6.12579020006063,1868.038497397469,2588.6178045217903,2.1309061864177616,10.718609281554775,12.269660768575385,229.59894651683874,0.4494217431132167,7.336551341715369,0.9888382889558844,0.0029572125723700765,1887.09,2248.38,0.009582449380934685,0.9,2.874734814280405,28,1.6169352743525665,1,1.4642970426953015
Mar_22_T1_9_FLM30_stem,41.96859705969112,6240.414025493506,10815.254467665975,15.300469706262433,129.6019435878248,156.25971603768244,408.05728504569254,0.8939675581500648,2.1300868286795294,0.9865649661528513,6.540744774347118e-29,62.41527026204899,5910.637713225106,14104.649993234249,22.754702772037135,38.69454434904671,46.441553454858806,335.4807162351138,1.4052770400579697,2.2514955621564217,0.9988132528975412,0.002776991538998737,5901.09,10606.400000000001,0.008228884053640558,0.9,2.7429613512135194,31,17.000521895847147,1,1.4871898189324024
