UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,p.val.lim,MDF.lim,warn.nb.obs
Mar_23_298_BL60_leaves,0.004002457823216162,2015.6005762910709,2016.357410187191,0.0013419040711346404,3.0611124400367054,3.8697168306278353,3155.170722318052,0.002973249787454217,74.28559946860531,0.001430290427780978,0.1787910664818903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011.86,2013.55,0.004751156710602915,0.9,2.9826706016562743,568,0.0014910045234829336,1,NA,HM.flux is NA,NA,0.004002457823216162,LM,HM.flux is NA,NA,NA,0.9,0.9,0.03776316112335101,2,0.5,1,0.05,0.0048,60
Mar_23_299_BL60_leaves,0.006403114286466145,2001.743564770986,2002.3919894052146,0.002147101437842727,1.9810582604109748,2.5276720257854572,1432.5922567778528,0.004967161753588719,77.57415425314979,0.002179235858740469,0.19835363391240773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.51,2002.92,0.008858059060799799,0.9,2.982213217135932,304,0.0023856682642696965,1,NA,HM.flux is NA,NA,0.006403114286466145,LM,HM.flux is NA,NA,NA,0.9,0.9,0.0516185401208764,2,0.5,1,0.05,0.0089,60
Mar_23_300_BL60_leaves,-0.025215534505297413,1978.1067839220814,1975.919097655302,-0.008446665122700382,2.69981718100968,3.321283878729519,1378.6009580202622,0.008175434879127513,-32.42221527134384,0.03158637483957649,0.002260308679634257,-0.07978289714228341,1978.789544070154,1975.9419103064133,-0.026725565327125663,2.6851963531092298,3.303799490562324,1377.8977728998877,0.07331371607433057,-91.89151898505789,0.04175566603854308,0.009385183469667092,1971.8100000000002,1974.52,0.010333609921832973,0.9,2.9852650885295255,262,0.009385183469667092,1,3.164037515267511,Noise (HM.RMSE) | Noise (HM.MAE) | Exaggerated curvature (g-fact),Noise (LM.RMSE) | Noise (LM.MAE),-0.025215534505297413,LM,g-fact. > 2 | Intercept,0,4,0.9,0.9,0.05560218568936939,2,0.5,1,0.05,0.01,60
Mar_23_301_BL60_leaves,-0.010972542807218343,1945.3377268079898,1944.3988750546387,-0.0036817715817693128,2.4658362706968253,3.0322184569366484,1305.606648758768,0.007669514969371975,-69.89733468459605,0.004072474014195082,0.15374908741635104,-0.013345040312608624,1945.3702187000931,1942.5089571068254,-0.00447784903132988,2.465920306470891,3.0321783524267887,1307.663718982599,0.03541220607689503,-265.3585545443199,0.004098818372430202,0.0015649911360309829,1944.33,1939.76,0.010477387026842444,0.9,2.9802345320796286,257,0.004090857313077015,1,1.2162213032178395,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.),-0.013345040312608624,HM,AICc | p-value | Intercept,1,3,0.9,0.9,0.05614045753966248,2,0.5,1,0.05,0.01,60
Mar_23_302_BL60_leaves,0.006556662238776143,1997.5325237902603,1998.0014245147609,0.0022014118521158496,2.4666196466190136,2.963921005245614,1088.468293944083,0.009712281481840038,148.12843986993173,-0.0025378365858650387,0.5003473979510922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.48,1995.67,0.01252593770977825,0.9,2.978389633213939,216,0.0024460131690176106,1,NA,HM.flux is NA,NA,0.006556662238776143,LM,HM.flux is NA,NA,NA,0.9,0.9,0.06123724356957945,2,0.5,1,0.05,0.013,60
Mar_23_303_BL60_leaves,0.007883908006643795,1998.0935396503494,1998.6761156865525,0.0026480728918319824,2.3724109194230136,2.993904938261747,1122.999669913126,0.009438547826995164,119.71915221538947,-0.0013697170529525238,0.4044615810661151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.62,1997.01,0.012124444457617506,0.9,2.977224694592743,222,0.0029423032131466464,1,NA,HM.flux is NA,NA,0.007883908006643795,LM,HM.flux is NA,NA,NA,0.9,0.9,0.06040404496926219,2,0.5,1,0.05,0.012,60
Mar_23_304_BL60_leaves,0.024973239465227087,2025.3726010931778,2026.40991006305,0.0026260986579038524,2.175104552458605,2.691942751966359,1923.7854500107067,0.011251730939623656,45.05515175670599,0.009792798239507405,0.02701848886312806,0.0249597125779382,2025.3726520425355,2583.2741777977694,0.0026246762176712016,2.1751161628088176,2.691949048979294,1925.8281794826746,0.04462301589174154,178.78016724913596,0.009788227731944765,4.704551065921831e-6,2028.58,2026.39,0.021612806605778582,0.9,9.509634906542576,398,0.0029178873976709475,1,0.9994583447090345,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.0249597125779382,HM,AICc | Intercept,1,3,0.9,0.9,0.0451129236405377,2,0.5,1,0.05,0.022,60
Mar_23_305_BL60_leaves,-0.005635600476158243,2027.806011518105,2027.6817968731984,-5.914983090789224e-4,2.2677669159866096,2.8205331085835605,1047.4019096705554,0.030514155541191513,-541.4534914297693,-0.004598730729152178,0.8536519338206245,-0.007206185292315161,2027.8197920633736,2026.6689711720558,-7.563429014079974e-4,2.2674076210971914,2.820435491174333,1049.4650870628561,0.12791628533966912,-1775.0901503473958,-0.004529194492832511,6.572203434210248e-4,2028.7799999999997,2027.46,0.0406393491366722,0.9,9.527669630930927,212,6.572203434210248e-4,1,1.278689879242039,Noise (HM.RMSE) | Noise (HM.MAE) | MDF (HM),Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.) | MDF (LM),-0.007206185292315161,HM,AICc | p-value | MDF | Intercept,1,3,0.9,0.9,0.06181225377691006,2,0.5,1,0.05,0.041,60
Mar_23_306_BL60_leaves,-0.010337357631168052,2094.6926465860906,2094.1882762589807,-0.0034784160490324715,2.0608265890842743,2.555666065330326,699.1997478303231,0.015005910584473928,-145.16195646777058,-0.00361187795101392,0.491995944606316,-0.01618458011477975,2094.7707791021558,2093.361703144545,-0.005445947139176273,2.059314796009598,2.5538666271182477,701.1065282140282,0.07317955596219602,-452.1560364446434,-0.0021990941685985366,0.00386490672114719,2091.77,2094.41,0.01831967095199282,0.9,2.9718577322121686,147,0.00386490672114719,1,1.5656399529007106,Noise (HM.RMSE) | Noise (HM.MAE) | MDF (HM),Noise (LM.RMSE) | Noise (LM.MAE) | No detect. flux (p-val.) | MDF (LM),-0.01618458011477975,HM,AICc | p-value | MDF | Intercept,1,3,0.9,0.9,0.07423074889580902,2,0.5,1,0.05,0.018,60
Mar_23_307_BL60_leaves,0.06744031183433079,2116.4846110060216,2119.177657648967,0.011221027678939694,1.9768077204024765,2.494350813675052,1139.9223967550786,0.013833654998009133,20.51244222000624,0.08598707890379342,1.974423873929114e-6,0.2683062392681954,2115.393116056053,2118.9736987783654,0.04464201981533604,1.9403202227333427,2.4434050420200832,1131.9609860631751,0.1430815207549679,53.32769045744982,0.12294223359941792,0.012467808532155216,2114.4599999999996,2114.09,0.022444627545645954,0.9,6.010172487222972,243,0.012467808532155216,1,3.978425247013952,Noise (HM.RMSE) | Noise (HM.MAE) | Exaggerated curvature (g-fact),Noise (LM.RMSE) | Noise (LM.MAE),0.06744031183433079,LM,g-fact. > 2 | Intercept,0,4,0.9,0.9,0.057735026918962574,2,0.5,1,0.05,0.022,60
