"site","campaign","scenario","scenario_label","stem_nmol_s","stem_mg_m2_d","nonstem_mg_m2_d","total_mg_m2_d","disturbance_level"
"CP40","Oct 2022","zero_above","Zero above 1.5 m",357.129695932568,0.260239853713428,74.4604163733627,74.7206562270761,"ghost"
"CP40","Oct 2022","exp_zero_asym","Exponential (asym. = 0)",357.467927368065,0.260486322434169,74.4604163733627,74.7209026957969,"ghost"
"CP40","Oct 2022","linear_clamp","Linear (clamped >= 0)",1601.86790361757,1.16727864877522,74.4604163733627,75.6276950221379,"ghost"
"CP40","Oct 2022","linear_obs_range","Linear (obs. range cap)",1320.30367980477,0.962103237011608,74.4604163733627,75.4225196103743,"ghost"
"CP40","Oct 2022","exp_free_asym","Exp. (free asymptote)",854.585418761536,0.622735064871568,74.4604163733627,75.0831514382342,"ghost"
"CP40","Oct 2022","constant_at_max","Constant above 1.5 m",366.944873302565,0.267392158190012,74.4604163733627,74.7278085315527,"ghost"
"FLM30","Oct 2022","zero_above","Zero above 1.5 m",160.356434681015,0.10573696414874,26.5070742021804,26.6128111663291,"ghost"
"FLM30","Oct 2022","exp_zero_asym","Exponential (asym. = 0)",160.623037523152,0.105912758623199,26.5070742021804,26.6129869608036,"ghost"
"FLM30","Oct 2022","linear_clamp","Linear (clamped >= 0)",1679.29650476298,1.10730644936351,26.5070742021804,27.6143806515439,"ghost"
"FLM30","Oct 2022","linear_obs_range","Linear (obs. range cap)",1457.45708070017,0.961028395255072,26.5070742021804,27.4681025974355,"ghost"
"FLM30","Oct 2022","exp_free_asym","Exp. (free asymptote)",0,0,26.5070742021804,26.5070742021804,"ghost"
"FLM30","Oct 2022","constant_at_max","Constant above 1.5 m",165.246398626294,0.108961343285125,26.5070742021804,26.6160355454655,"ghost"
"SRS5","Oct 2022","zero_above","Zero above 1.5 m",16.5814128013405,0.0130025385880862,0.878209147138975,0.891211685727061,"healthy"
"SRS5","Oct 2022","exp_zero_asym","Exponential (asym. = 0)",39.5153340700572,0.0309864824079102,0.878209147138975,0.909195629546885,"healthy"
"SRS5","Oct 2022","linear_clamp","Linear (clamped >= 0)",33.3174070627831,0.0261262943139435,0.878209147138975,0.904335441452918,"healthy"
"SRS5","Oct 2022","linear_obs_range","Linear (obs. range cap)",-181.913005836684,-0.142649538154856,0.878209147138975,0.735559608984119,"healthy"
"SRS5","Oct 2022","exp_free_asym","Exp. (free asymptote)",183.528023281502,0.143915975876313,0.878209147138975,1.02212512301529,"healthy"
"SRS5","Oct 2022","constant_at_max","Constant above 1.5 m",100.18657051934,0.0785626511319002,0.878209147138975,0.956771798270875,"healthy"
"SRS6","Oct 2022","zero_above","Zero above 1.5 m",29.1247938543646,0.0184251614994633,5.20297136858032,5.22139653007978,"healthy"
"SRS6","Oct 2022","exp_zero_asym","Exponential (asym. = 0)",32.0863259956617,0.0202987097986239,5.20297136858032,5.22327007837894,"healthy"
"SRS6","Oct 2022","linear_clamp","Linear (clamped >= 0)",6732.07644695409,4.25890038508455,5.20297136858032,9.46187175366487,"healthy"
"SRS6","Oct 2022","linear_obs_range","Linear (obs. range cap)",6732.07644695409,4.25890038508455,5.20297136858032,9.46187175366487,"healthy"
"SRS6","Oct 2022","exp_free_asym","Exp. (free asymptote)",13287.8948245166,8.40629497169508,5.20297136858032,13.6092663402754,"healthy"
"SRS6","Oct 2022","constant_at_max","Constant above 1.5 m",83.3578922488367,0.0527345407016333,5.20297136858032,5.25570590928195,"healthy"
"CP40","Mar 2023","zero_above","Zero above 1.5 m",160.981357371689,0.117306864621271,19.8863605632162,20.0036674278375,"ghost"
"CP40","Mar 2023","exp_zero_asym","Exponential (asym. = 0)",161.19523490212,0.117462716844892,19.8863605632162,20.0038232800611,"ghost"
"CP40","Mar 2023","linear_clamp","Linear (clamped >= 0)",639.309655417998,0.465863951103568,19.8863605632162,20.3522245143198,"ghost"
"CP40","Mar 2023","linear_obs_range","Linear (obs. range cap)",357.745431605205,0.260688539339962,19.8863605632162,20.1470491025562,"ghost"
"CP40","Mar 2023","exp_free_asym","Exp. (free asymptote)",1174.9157130898,0.856159251897747,19.8863605632162,20.742519815114,"ghost"
