"plot","component","nmol_m2_s","lo","hi","mg_m2_d","n"
"BL60","cwd",-0.920319626687544,-3.15641017113149,0.224029613567031,-1.27543047656269,3
"BL60","leaves",0.0136842290558725,0.000146690757566682,0.0286745745771583,0.0189643709424552,14
"BL60","root",5.73395327786473,2.56703389497759,8.03928558842844,7.9464335538485,5
"BL60","soil",78.2037145424659,38.2980832996303,126.573999356617,108.379087020964,23
"BL60","stem",14.7558473198326,4.14152647216839,33.0465413222612,20.4494795432739,92
"BL60","water",34.4950633197533,15.2998599443686,55.3964967076322,47.80519047206,9
"CP40","cwd",2.60393967481215,0.250528453164197,6.53203471475588,3.60868542197646,10
"CP40","stem",13.1521717592054,6.63257974910221,22.4936070386564,18.2270161455253,78
"CP40","water",34.0902069798983,19.5542659782927,50.446222715939,47.2441178843339,26
"FLM30","root",0.254985499318045,0.1740216566559,0.340733708101337,0.353373184142909,4
"FLM30","soil",61.9318749286022,29.0592552263205,102.502887949439,85.8286604610529,10
"FLM30","stem",11.4128493062448,5.96331885357206,18.8225443480668,15.8165656881553,123
"FLM30","water",7.90631778827315,5.75507601073098,10.5149971383952,10.9570179447851,34
"MI","soil",2.77000867295977,2.07175152835073,3.51210027414816,3.83883313947333,21
"MI","stem",0.464438534235478,0.169539739541952,0.878749730585562,0.643644929301443,9
"RB10","soil",1.24771264045253,0.554520298505158,2.00452335487474,1.72915004904698,10
"SE1","leaves",0.0263755618271391,0.0104291855714785,0.0432834942896563,0.0365527306115117,5
"SE1","root",3.16884771038129,1.24664537567273,5.15188533402984,4.39156661251817,6
"SE1","stem",0.154734713524103,-0.0145356012016832,0.481707121376425,0.21444003114566,5
"SE1","water",0.994977701540883,0.506311069931706,1.825812057561,1.37889581754664,5
"SRS5","cwd",0.306875230172883,0.14984309608533,0.489125387016051,0.425284878986471,6
"SRS5","root",0.981616725060319,0.468499102630265,1.76472017372875,1.36037942812519,34
"SRS5","soil",0.637707790542519,0.382324194955305,0.913476530336204,0.883771167770093,24
"SRS5","stem",0.124898820277396,0.0836967820188344,0.190567535129368,0.173091779474351,90
"SRS5","water",0.456745069031223,0.256295732670141,0.686308605754015,0.632982894387335,12
"SRS6","cwd",0.456835648844983,0.187817220423852,0.736638228868821,0.633108424965712,8
"SRS6","root",10.0826198662258,0.44979213947909,28.9861404605749,13.9730592373282,16
"SRS6","soil",13.2645538190418,6.64168570596704,24.0376340816286,18.3827614974421,30
"SRS6","stem",0.835562581995415,0.346224924757691,1.55895060571573,1.15796941763384,92
"SRS6","water",1.16206552665083,0.87349501973183,1.41554211216895,1.61045548250222,6
