"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"CP40","Mar 2023",0.5,0.75,28.95552353,0.401326403100772,11.6206161081947,"exponential"
"CP40","Mar 2023",1,1.25,23.20125921,0.0508092038133129,1.17883750792639,"exponential"
"CP40","Mar 2023",1.5,1.75,29.328222484,0.00643260740433903,0.188656941106681,"exponential"
"CP40","Mar 2023",2,2.25,26.96826386,0.000814388632626346,0.0219626475292519,"exponential"
"CP40","Mar 2023",2.5,2.75,28.32326539,0.000103104200717059,0.00292024763973309,"exponential"
"CP40","Mar 2023",3,3.25,22.64762369,1.30533209571222e-05,0.000295626700941693,"exponential"
"CP40","Mar 2023",3.5,3.75,22.323977948,1.65259210414939e-06,3.68924296900698e-05,"exponential"
"CP40","Mar 2023",4,4.25,21.659234474,2.0922343606412e-07,4.53161945916873e-06,"exponential"
"CP40","Mar 2023",4.5,4.75,21.398478075,2.64883549234967e-08,5.66810482073261e-07,"exponential"
"CP40","Mar 2023",5,5.25,19.995737916,3.35351029383775e-09,6.70559129341877e-08,"exponential"
"CP40","Mar 2023",5.5,5.75,19.732948216,4.24565108832026e-10,8.37792130690278e-09,"exponential"
"CP40","Mar 2023",6,6.25,19.194600626,5.37512981453432e-11,1.03173470102892e-09,"exponential"
"CP40","Mar 2023",6.5,6.75,17.010922738,6.8050859390159e-12,1.1576079113405e-10,"exponential"
"CP40","Mar 2023",7,7.25,14.48891203,8.61545604204242e-13,1.24828584691485e-11,"exponential"
"CP40","Mar 2023",7.5,7.75,12.644456098,1.09074423861132e-13,1.37918676392673e-12,"exponential"
"CP40","Mar 2023",8,8.25,15.232143672,1.38091702662991e-14,2.10343265487378e-13,"exponential"
"CP40","Mar 2023",8.5,8.75,9.721603803,1.74828503963879e-15,1.69961344900805e-14,"exponential"
"CP40","Mar 2023",9,9.25,7.785579611,2.21338467183951e-16,1.72324825723736e-15,"exponential"
"CP40","Mar 2023",9.5,9.75,5.162688347,2.80221565388803e-17,1.44669661021087e-16,"exponential"
"CP40","Mar 2023",10,10.25,4.19555219,3.54769447480145e-18,1.48845373232041e-17,"exponential"
"CP40","Mar 2023",10.5,10.75,1.770607714,4.49149446049004e-19,7.95267473913194e-19,"exponential"
"CP40","Mar 2023",11,11.25,0.582547913,5.68637537192143e-20,3.31258610544743e-20,"exponential"
"CP40","Mar 2023",11.5,11.75,0.036946261,7.19913275076527e-21,2.65981037583421e-22,"exponential"
"FLM30","Mar 2023",0,0.25,59.12687936,2.67227979775832,158.003565218221,"exponential"
"FLM30","Mar 2023",0.5,0.75,36.279548959,0.457810872085112,16.6091719477743,"exponential"
"FLM30","Mar 2023",1,1.25,33.185797234,0.0784314557087731,2.6028103859188,"exponential"
"FLM30","Mar 2023",1.5,1.75,29.044421687,0.0134367565728181,0.390262824006499,"exponential"
"FLM30","Mar 2023",2,2.25,26.981116496,0.00230196450602123,0.0621095725066158,"exponential"
"FLM30","Mar 2023",2.5,2.75,25.802751711,0.000394369024865809,0.0101758060311217,"exponential"
"FLM30","Mar 2023",3,3.25,24.08722039,6.75626958481763e-05,0.00162739754503756,"exponential"
"FLM30","Mar 2023",3.5,3.75,23.213233519,1.15747373207782e-05,0.000268687080348308,"exponential"
"FLM30","Mar 2023",4,4.25,20.727214663,1.98296622660049e-06,4.11013666482275e-05,"exponential"
"FLM30","Mar 2023",4.5,4.75,18.394616863,3.39718729407316e-07,6.24899586863275e-06,"exponential"
"FLM30","Mar 2023",5,5.25,16.596003043,5.82000911371913e-08,9.65888889615703e-07,"exponential"
"FLM30","Mar 2023",5.5,5.75,13.164497246,9.97075025650448e-09,1.31259914292307e-07,"exponential"
"FLM30","Mar 2023",6,6.25,11.198496228,1.70817362541989e-09,1.91289759010338e-08,"exponential"
"FLM30","Mar 2023",6.5,6.75,9.41790114,2.9264168287403e-10,2.75607043875085e-09,"exponential"
"FLM30","Mar 2023",7,7.25,7.178411854,5.01349238045361e-11,3.59889131337869e-10,"exponential"
"FLM30","Mar 2023",7.5,7.75,4.955332173,8.5890381718745e-12,4.25615371882148e-11,"exponential"
