"site","campaign","disturbance_level","stem","root","soil","water","cwd","leaf","Reco","Reco_noleaf","Reco_g"
"CP40","Mar 2023","ghost",0.176866622750095,0.0941535391953481,0,0.401113395554846,0.00274954154759979,0,0.674883099047889,0.674883099047889,936.669821243381
"CP40","Oct 2022","ghost",0.622773513660191,0.0941535391953481,0,0.623040052220706,0.0891909888599001,0,1.42915809393615,1.42915809393615,1983.5276039128
"FLM30","Mar 2023","ghost",0.528472264800836,0.0714997664269069,0,0.481900823557698,0,0,1.08187285478544,1.08187285478544,1501.53064275809
"FLM30","Oct 2022","ghost",0.448804504471677,0.0714997664269069,0,0.446373275416353,0,0,0.966677546314937,0.966677546314937,1341.65114785687
"SRS5","Mar 2023","healthy",2.23099710951832,0.656682909095931,0.608723063338475,0.608432345707223,0.00971553040315633,1.58173520104344,5.69628615910655,4.11455095806311,7905.87191460083
"SRS5","Oct 2022","healthy",0.983161226936759,0.438418949267362,0.622685547733031,0.450229272876092,0.0292296132047869,1.81685245715141,4.34057706716944,2.52372461001803,6024.28413355515
"SRS6","Mar 2023","healthy",1.58641127245725,0.190722455713001,0.780580260016034,0.791812048112923,0.0195822218160351,1.58173520104344,4.95084345915869,3.36910825811525,6871.27246842653
"SRS6","Oct 2022","healthy",2.19192699276799,0.526944546118274,1.12541921523302,0.450044312041218,0.0232491283246056,1.81685245715141,6.13443665163652,4.31758419448511,8513.98070276687
