"class","net100_med","net100_lo","net100_hi","net20_med","net20_lo","net20_hi"
"ghost",1769.28278065265,1480.33002041041,2053.99114079911,2391.95287509659,1875.27349204065,2913.81233828061
"healthy",-4800.13543078256,-6127.83018508364,-3505.23332133359,-4683.18233946308,-6017.23379677591,-3366.67461129809
