"disturbance_level","ch4_g_yr","nee_umol","co2_g_yr","ch4_co2eq100","ch4_co2eq20","net100","net20","ch4_pct100","ch4_pct20"
"ghost",11.7786344911205,1.0381478985211,1441.61369780235,328.623902302263,956.425120678988,1770.23760010461,2398.03881848133,18.6,39.9
"healthy",2.14302103070944,-3.38879422963236,-4705.81521903668,59.7902867567933,174.013307693606,-4646.02493227989,-4531.80191134307,1.3,3.6
