"site","campaign","tide_state","disturbance_level","stem","root","soil","water","cwd","leaf","Reco","Reco_noleaf"
"CP40","Mar 2023","fixed","ghost",0.176866622750095,0.0941535391953481,0,0.401113395554846,0.00274954154759979,0,0.674883099047889,0.674883099047889
"CP40","Mar 2023","tide_avg","ghost",0.176866622750095,0.0941535391953481,0,0.401113395554846,0.00274954154759979,0,0.674883099047889,0.674883099047889
"CP40","Oct 2022","fixed","ghost",0.622773513660191,0.0941535391953481,0,0.623040052220706,0.0891909888599001,0,1.42915809393615,1.42915809393615
"CP40","Oct 2022","tide_avg","ghost",0.622773513660191,0.0941535391953481,0,0.623040052220706,0.0891909888599001,0,1.42915809393615,1.42915809393615
"FLM30","Mar 2023","fixed","ghost",0.528472264800836,0.0714997664269069,0,0.481900823557698,0,0,1.08187285478544,1.08187285478544
"FLM30","Mar 2023","tide_avg","ghost",0.528472264800836,0.0714997664269069,0,0.481900823557698,0,0,1.08187285478544,1.08187285478544
"FLM30","Oct 2022","fixed","ghost",0.448804504471677,0.0714997664269069,0,0.446373275416353,0,0,0.966677546314937,0.966677546314937
"FLM30","Oct 2022","tide_avg","ghost",0.448804504471677,0.0714997664269069,0,0.446373275416353,0,0,0.966677546314937,0.966677546314937
"SRS5","Mar 2023","high_tide","healthy",2.23099710951832,0.656682909095931,0,1.21686469141445,0.00971553040315633,1.58173520104344,5.6959954414753,4.11426024043186
"SRS5","Mar 2023","low_tide","healthy",2.23099710951832,0.656682909095931,1.21744612667695,0,0.00971553040315633,1.58173520104344,5.6965768767378,4.11484167569436
"SRS5","Mar 2023","tide_avg","healthy",2.23099710951832,0.656682909095931,0.608723063338475,0.608432345707223,0.00971553040315633,1.58173520104344,5.69628615910655,4.11455095806311
"SRS5","Oct 2022","high_tide","healthy",0.983161226936759,0.438418949267362,0,0.900458545752183,0.0292296132047869,1.81685245715141,4.16812079231251,2.35126833516109
"SRS5","Oct 2022","low_tide","healthy",0.983161226936759,0.438418949267362,1.24537109546606,0,0.0292296132047869,1.81685245715141,4.51303334202638,2.69618088487497
"SRS5","Oct 2022","tide_avg","healthy",0.983161226936759,0.438418949267362,0.622685547733031,0.450229272876092,0.0292296132047869,1.81685245715141,4.34057706716944,2.52372461001803
"SRS6","Mar 2023","high_tide","healthy",1.58641127245725,0.190722455713001,0,1.58362409622585,0.0195822218160351,1.58173520104344,4.96207524725558,3.38034004621214
"SRS6","Mar 2023","low_tide","healthy",1.58641127245725,0.190722455713001,1.56116052003207,0,0.0195822218160351,1.58173520104344,4.9396116710618,3.35787647001836
"SRS6","Mar 2023","tide_avg","healthy",1.58641127245725,0.190722455713001,0.780580260016034,0.791812048112923,0.0195822218160351,1.58173520104344,4.95084345915869,3.36910825811525
"SRS6","Oct 2022","high_tide","healthy",2.19192699276799,0.526944546118274,0,0.900088624082437,0.0232491283246056,1.81685245715141,5.45906174844472,3.64220929129331
"SRS6","Oct 2022","low_tide","healthy",2.19192699276799,0.526944546118274,2.25083843046603,0,0.0232491283246056,1.81685245715141,6.80981155482832,4.99295909767691
"SRS6","Oct 2022","tide_avg","healthy",2.19192699276799,0.526944546118274,1.12541921523302,0.450044312041218,0.0232491283246056,1.81685245715141,6.13443665163652,4.31758419448511
