"site","campaign","scenario","tide_state","disturbance_level","cwd_SA_m2","cwd_mg","total_mg"
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",5,0.000888396394141969,0.88167908346418
"SRS6","Mar 2023","exponential","high_tide","healthy",5,0.000921708048527367,1.83845324800757
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",5,0.000921708048527367,1.82117117346471
"SRS6","Mar 2023","exponential","low_tide","healthy",5,0.000921708048527367,5.17615378446673
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",5,0.000921708048527367,5.15887170992387
"CP40","Oct 2022","exponential","fixed","ghost",10,0.0364650422677037,74.7209026957969
"CP40","Oct 2022","zero_above_max","fixed","ghost",10,0.0364650422677037,76.2086920362591
"FLM30","Oct 2022","exponential","fixed","ghost",10,0,26.6129869608036
"FLM30","Oct 2022","zero_above_max","fixed","ghost",10,0,28.2785888735438
"SRS5","Oct 2022","exponential","high_tide","healthy",10,0.00557769537201582,0.909195629546885
"SRS5","Oct 2022","zero_above_max","high_tide","healthy",10,0.00557769537201582,0.898489075923098
"SRS5","Oct 2022","exponential","low_tide","healthy",10,0.00557769537201582,2.02320452639117
"SRS5","Oct 2022","zero_above_max","low_tide","healthy",10,0.00557769537201582,2.01249797276738
"SRS6","Oct 2022","exponential","high_tide","healthy",10,0.00463139334737898,5.22327007837894
"SRS6","Oct 2022","zero_above_max","high_tide","healthy",10,0.00463139334737898,5.43141327516022
"SRS6","Oct 2022","exponential","low_tide","healthy",10,0.00463139334737898,29.8270419786995
"SRS6","Oct 2022","zero_above_max","low_tide","healthy",10,0.00463139334737898,30.0351851754808
"CP40","Mar 2023","exponential","fixed","ghost",10,0.00136150569730978,20.0038232800611
"CP40","Mar 2023","zero_above_max","fixed","ghost",10,0.00136150569730978,20.4079526999497
"FLM30","Mar 2023","exponential","fixed","ghost",10,0,7.74321299342646
"FLM30","Mar 2023","zero_above_max","fixed","ghost",10,0,8.47946257427194
"SRS5","Mar 2023","exponential","high_tide","healthy",10,0.00177679278828394,1.07736611449908
"SRS5","Mar 2023","zero_above_max","high_tide","healthy",10,0.00177679278828394,1.06613840968956
"SRS5","Mar 2023","exponential","low_tide","healthy",10,0.00177679278828394,0.893795184667849
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",10,0.00177679278828394,0.882567479858323
"SRS6","Mar 2023","exponential","high_tide","healthy",10,0.00184341609705473,1.83937495605609
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",10,0.00184341609705473,1.82209288151324
"SRS6","Mar 2023","exponential","low_tide","healthy",10,0.00184341609705473,5.17707549251526
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",10,0.00184341609705473,5.1597934179724
"CP40","Oct 2022","exponential","fixed","ghost",25,0.0911626056692593,74.7756002591984
"CP40","Oct 2022","zero_above_max","fixed","ghost",25,0.0911626056692593,76.2633895996607
"FLM30","Oct 2022","exponential","fixed","ghost",25,0,26.6129869608036
"FLM30","Oct 2022","zero_above_max","fixed","ghost",25,0,28.2785888735438
"SRS5","Oct 2022","exponential","high_tide","healthy",25,0.0139442384300396,0.917562172604909
"SRS5","Oct 2022","zero_above_max","high_tide","healthy",25,0.0139442384300396,0.906855618981121
"SRS5","Oct 2022","exponential","low_tide","healthy",25,0.0139442384300396,2.0315710694492
"SRS5","Oct 2022","zero_above_max","low_tide","healthy",25,0.0139442384300396,2.02086451582541
"SRS6","Oct 2022","exponential","high_tide","healthy",25,0.0115784833684475,5.23021716840001
"SRS6","Oct 2022","zero_above_max","high_tide","healthy",25,0.0115784833684475,5.43836036518128
"SRS6","Oct 2022","exponential","low_tide","healthy",25,0.0115784833684475,29.8339890687206
"SRS6","Oct 2022","zero_above_max","low_tide","healthy",25,0.0115784833684475,30.0421322655018
"CP40","Mar 2023","exponential","fixed","ghost",25,0.00340376424327445,20.0058655386071
"CP40","Mar 2023","zero_above_max","fixed","ghost",25,0.00340376424327445,20.4099949584956
