flux_id,date,plot,measurement_type,component,surface_type,analyzer_source,data_source,start_time,end_time,year,month,season,air_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.r2,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.r2,flux_status,disturbance_level,notes
Mar_23_302_BL60_leaves,2023-03-19,BL60,tree,leaves,NA,LGR,original,12:21:00,12:24:00,2023,3,dry,27.2,NA,NA,NA,NA,NA,2190.644,428,3138.644,0.00655666223877614,LM,HM.flux is NA,valid,TRUE,TRUE,0.675089807789833,0.00655666223877614,-0.00253783658586503,0.5003473979510922,NA,NA,-1.966168545383473,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,381.79282834367774,-1.966168545383473,0.9985271934851504,3.2470539443223375e-291,-2.3481903238084505,0.9973291243463271,valid,regenerating,NA
Mar_23_300_BL60_leaves,2023-03-19,BL60,tree,leaves,NA,LGR,original,11:16:00,11:20:00,2023,3,dry,26.8,NA,NA,NA,NA,NA,2190.644,428,3138.644,-0.02521553450529741,LM,g-fact. > 2 | Intercept,valid,FALSE,TRUE,3.0843049792586004,-0.02521553450529741,0.03158637483957649,0.00226030867963425,-0.07978289714228341,0.04175566603854308,-0.2707929282263174,HM,RMSE | AICc,valid,FALSE,TRUE,24.981927339211875,-0.2639966369144503,0.9747636251543306,5.5756715984710474e-210,-0.2707929282263174,0.9743676111297032,valid,regenerating,NA
Oct_22_206_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,12:33:32,12:36:32,2022,10,wet,29.7,26.3,NA,11,NA,NA,1064.6016666666667,213.35,2012.6016666666667,1.4892481037075291,HM,SE | AICc | Intercept,valid,FALSE,TRUE,7.449661799315392,1.4695941772781924,0.7455740029413161,1.7270637687299054e-90,1.4892481037075291,0.7454916767452006,-0.04382791099588239,HM,AICc | Intercept,valid,FALSE,TRUE,14.07706957801594,-0.04369684579289063,0.4563859531169212,2.0269594292065938e-41,-0.04382791099588239,0.4562004769197085,valid,ghost,NA
Oct_22_203_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,11:50:59,11:54:07,2022,10,wet,27.9,26.3,NA,11,NA,NA,1064.6016666666667,213.35,2012.6016666666667,2.063803891033839,HM,AICc,valid,FALSE,TRUE,35.766491845742124,1.985234899063244,0.9899953413916608,3.6029172022860686e-202,2.063803891033839,0.9900964139959416,1.4249506637631644,HM,SE | AICc,valid,FALSE,TRUE,16.701146851640704,1.3100024110735555,0.9547183750846896,1.3689451978472899e-136,1.4249506637631644,0.9551780133822236,valid,ghost,NA
Oct_22_205_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,12:18:21,12:21:39,2022,10,wet,29.7,26.3,NA,11,NA,NA,2190.644,462.19,3138.644,7.355450351730046,LM,RMSE | MAE | AICc,valid,FALSE,TRUE,527.9451948518213,7.355450351730046,0.9992363898329126,0,7.4394767489627744,0.9991484105623544,0.6353002296027965,HM,RMSE | AICc,valid,FALSE,TRUE,53.22229700359999,0.6283397235729683,0.9953981662315946,6.212823875034899e-250,0.6353002296027965,0.995306150339736,valid,ghost,NA
Oct_22_202_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,11:34:40,11:38:33,2022,10,wet,27.9,26.3,NA,11,NA,NA,1064.6016666666667,213.35,2012.6016666666667,13.334360615721932,HM,NA,valid,FALSE,FALSE,302.46304129216844,12.486966187476568,0.999540177072913,0,13.334360615721932,0.999833823749784,2.0559878741522706,HM,NA,valid,FALSE,FALSE,149.16278036827774,1.8928491660070768,0.9988414929445744,0,2.0559878741522706,0.999311328204412,valid,ghost,NA
Oct_22_201_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,11:18:47,11:23:01,2022,10,wet,27.9,26.3,NA,11,NA,NA,1064.6016666666667,213.35,2012.6016666666667,25.211227713364107,HM,SE,valid,FALSE,TRUE,28.95611750479058,19.07088089030582,0.9707173472208984,3.6351878231632064e-216,25.211227713364107,0.9767929544239484,1.6219488618606872,HM,NA,valid,FALSE,FALSE,100.75447697936784,1.333256501411193,0.995412855028121,0,1.6219488618606872,0.9981160485294154,valid,ghost,NA
Oct_22_204_CP40_stem,2022-10-23,CP40,tree,stem,NA,LGR,original,12:02:20,12:08:50,2022,10,wet,29.7,26.3,NA,11,NA,NA,2190.644,462.19,3138.644,60.3213663924238,HM,SE,valid,FALSE,TRUE,336.95006378639545,58.31977355340451,0.9998115254933756,0,60.3213663924238,0.9998887433995688,2.546036007001891,HM,NA,valid,FALSE,FALSE,150.7191623895599,2.4336087603700176,0.999302792831839,4.0630167327e-297,2.546036007001891,0.9994410424972394,valid,ghost,NA
Oct_22_256_BL60_stem,2022-10-25,BL60,tree,stem,NA,LGR,original,10:46:15,10:48:00,2022,10,wet,24.8,23.3,NA,NA,NA,NA,212.53666666666663,40.45,1160.5366666666666,93.7209281663173,LM,RMSE | MAE | SE | AICc,valid,FALSE,TRUE,814.6531988346309,93.7209281663173,0.9996942134739216,0,94.92407030246572,0.9995992493108996,12.661526248735012,HM,SE,valid,FALSE,TRUE,150.13771894780086,12.437516342833511,0.9994103723367024,0,12.661526248735012,0.9994302372057982,valid,regenerating,NA
Oct_22_244_BL60_stem,2022-10-25,BL60,tree,stem,NA,LGR,original,12:58:00,13:01:00,2022,10,wet,24.8,23.4,NA,4,NA,NA,212.53666666666663,40.45,1160.5366666666666,0.3822821950891474,LM,SE | g-fact. > 2 | Intercept,valid,FALSE,TRUE,9.263834529091165,0.3822821950891474,0.295722176534014,3.0803776047829655e-17,0.8524784737862835,0.31394974063681247,1.4276213309986654,LM,MAE | SE | AICc,valid,FALSE,TRUE,65.30065686257896,1.4276213309986654,0.9547610191519528,2.643209642470557e-137,1.435936234330551,0.9546001844001772,valid,regenerating,NA
