Site,Depth_cm,Lat,Long,Description,ORP,pH,%DO,ppmDO,SpCond,Tds ppt,PSU,TempC,Sulfide,Total Iron,F_ppm,Cl_ppm,NO2_N_ppm,Br_ppm,NO3_N_ppm,PO4_P_ppm,SO4_ppm,Alkalinity_uM,DOC_mg_L,CH4_mean_uM,CH4_sd_uM,d13C_CH4_mean,d13C_CH4_sd,CO2_mean_uM,CO2_sd_uM,d13C_CO2_mean,d13C_CO2_sd,n_replicates,Depth_numeric
BL60,Surface,25.15778552,-80.92331601,Early regenerating,-243,6.78,31.3,2.52,6.257,3.13,3.4,24.96,2.2,0.1,NA,NA,NA,NA,NA,NA,NA,6119.793344,66.81,86.62314846023602,16.227892139569445,-78.60009466,0.752344559766925,1097.9136354366035,49.54330613488872,-408.7048208,426.38099198268,2,-5
BL60,0,25.15778552,-80.92331601,Early regenerating,-262,6.69,31,2.07,5451,26.85,35.44,25.82,2.58,1.2,1.73,NA,NA,70.14,NA,NA,1984.71,33974.04658,318.2,11.075734153373515,6.197636400091572,-57.683160995,6.641455944064908,4463.526243342949,116.11895885253068,-33.62922452,5.225470379169226,2,0
BL60,15,25.15778552,-80.92331601,Early regenerating,-243,6.71,32.6,2.18,5454,26.72,35.27,25.99,3.05,0.33,1.46,NA,NA,58.51,NA,NA,1672.9099999999999,34051.57771,251.5,16.085467490256125,2.2803974216395857,-62.22190938,0.00394728218461792,4940.325597482766,145.64920785391746,-46.69685222,21.555424633919458,2,15
BL60,45,25.15778552,-80.92331601,Early regenerating,-296,6.72,30.2,2.02,5153,25.78,33.85,25.87,3.65,0.06,1.7199999999999998,NA,NA,70.71,NA,NA,2032.97,32703.41435,285.79999999999995,4.817313281176606,1.3714511176683273,-62.28146231,0.07442931025450708,3669.014907603265,445.467168969274,-28.42823237,0.7133823114431701,2,45
BL60,90,25.15778552,-80.92331601,Early regenerating,-368,6.69,30.5,2.04,5052,25.24,33.46,26.28,8.05,0.03,1.33,NA,NA,37.04,0.8799999999999999,NA,973.68,29378.52925,106.19999999999999,23.452282493345603,3.541398609564395,-65.28526084500001,0.10711124120873168,4746.501898115357,192.83529447639353,-588.3986233200001,775.1841224888371,2,90
CP40,Surface,25.14948261,-80.91095886,Ghost forest / die-off zone,-113,8.43,118,11.76,3364,16.81,20.84,33.81,18.32,0.02,NA,NA,NA,NA,NA,NA,NA,4664.158286,36.9,2.746804009439345,0.08189314358536717,-70.63958942,0.7662836284652315,37.09382361376752,18.347965745917193,-207.94988395,31.594031827148072,2,-5
CP40,0,25.14948261,-80.91095886,Ghost forest / die-off zone,-376,6.92,30.8,1.83,6179,30.88,41.36,30.29,26.91,0.2,1.05,NA,13446.96,108.2,NA,1.11,3199.8599999999997,17038.82069,76.62,59.85599678144264,8.206550994641152,-63.637861145,0.36579238367078215,2548.820007248758,67.84113652834569,-3280.34434517,4595.034340326611,2,0
CP40,15,25.14948261,-80.91095886,Ghost forest / die-off zone,-375,6.74,30.8,1.68,7857,39.28,54.5,30.38,10,0.19,1.04,NA,13552.76,108.85999999999999,NA,0.9299999999999999,3253.3100000000004,15841.45076,69.6,43.96740786924459,1.4775036368012384,-61.81478371,1.381599195471821,1946.5116270380709,292.57271299445074,-4652.8466554999995,272.66127638667876,2,15
CP40,45,25.14948261,-80.91095886,Ghost forest / die-off zone,-392,6.77,30.5,1.71,7513,37.53,51.68,30.54,15.64,0.13,1.06,NA,12438.510000000002,101.28,NA,0.7000000000000001,2981.4800000000005,14920.40556,63.96,42.40313465037053,1.5630607671712533,-61.01527969,1.0025349761325182,1743.6079102471065,56.8423969123476,-3124.4416567900003,4309.18831820131,2,45
CP40,90,25.14948261,-80.91095886,Ghost forest / die-off zone,-392,6.94,30.5,1.67,7390,36.69,50.32,31.17,17.06,0.13,1.12,NA,11782.29,96.64999999999999,NA,0.51,2637.9700000000003,17383.89696,58.58,22.346416046006688,2.9257703839838163,-63.5918146,0.1751798219105507,1835.3784274329032,552.5590066547802,-3615.604476025,5006.497696195973,2,90
