Site,Depth_cm,Depth_numeric,Lat,Long,Description,ORP,pH,ppmDO,SpCond,PSU,TempC,Sulfide,Total Iron,Cl_ppm,Br_ppm,SO4_ppm,NO3_N_ppm,PO4_P_ppm,F_ppm,Alkalinity_uM,DOC_mg_L,CH4_mean_uM,CH4_sd_uM,d13C_CH4_mean,d13C_CH4_sd,CO2_mean_uM,CO2_sd_uM,d13C_CO2_mean,d13C_CO2_sd
BL60,Surface,-5,25.15778552,-80.92331601,Early regenerating,-243,6.78,2.52,6.257,3.4,24.96,2.2,0.1,NA,NA,NA,NA,NA,NA,6119.793344,66.81,86.62314846023602,16.227892139569445,-78.60009466,0.752344559766925,1097.9136354366035,49.54330613488872,-408.7048208,426.38099198268
BL60,0,0,25.15778552,-80.92331601,Early regenerating,-262,6.69,2.07,5451,35.44,25.82,2.58,1.2,NA,70.14,1984.71,NA,NA,1.73,33974.04658,318.2,11.075734153373515,6.197636400091572,-57.683160995,6.641455944064908,4463.526243342949,116.11895885253068,-33.62922452,5.225470379169226
BL60,15,15,25.15778552,-80.92331601,Early regenerating,-243,6.71,2.18,5454,35.27,25.99,3.05,0.33,NA,58.51,1672.9099999999999,NA,NA,1.46,34051.57771,251.5,16.085467490256125,2.2803974216395857,-62.22190938,0.00394728218461792,4940.325597482766,145.64920785391746,-46.69685222,21.555424633919458
BL60,45,45,25.15778552,-80.92331601,Early regenerating,-296,6.72,2.02,5153,33.85,25.87,3.65,0.06,NA,70.71,2032.97,NA,NA,1.7199999999999998,32703.41435,285.79999999999995,4.817313281176606,1.3714511176683273,-62.28146231,0.07442931025450708,3669.014907603265,445.467168969274,-28.42823237,0.7133823114431701
BL60,90,90,25.15778552,-80.92331601,Early regenerating,-368,6.69,2.04,5052,33.46,26.28,8.05,0.03,NA,37.04,973.68,0.8799999999999999,NA,1.33,29378.52925,106.19999999999999,23.452282493345603,3.541398609564395,-65.28526084500001,0.10711124120873168,4746.501898115357,192.83529447639353,-588.3986233200001,775.1841224888371
CP40,Surface,-5,25.14948261,-80.91095886,Ghost forest / die-off zone,-113,8.43,11.76,3364,20.84,33.81,18.32,0.02,NA,NA,NA,NA,NA,NA,4664.158286,36.9,2.746804009439345,0.08189314358536717,-70.63958942,0.7662836284652315,37.09382361376752,18.347965745917193,-207.94988395,31.594031827148072
CP40,0,0,25.14948261,-80.91095886,Ghost forest / die-off zone,-376,6.92,1.83,6179,41.36,30.29,26.91,0.2,NA,108.2,3199.8599999999997,NA,1.11,1.05,17038.82069,76.62,59.85599678144264,8.206550994641152,-63.637861145,0.36579238367078215,2548.820007248758,67.84113652834569,-3280.34434517,4595.034340326611
CP40,15,15,25.14948261,-80.91095886,Ghost forest / die-off zone,-375,6.74,1.68,7857,54.5,30.38,10,0.19,NA,108.85999999999999,3253.3100000000004,NA,0.9299999999999999,1.04,15841.45076,69.6,43.96740786924459,1.4775036368012384,-61.81478371,1.381599195471821,1946.5116270380709,292.57271299445074,-4652.8466554999995,272.66127638667876
CP40,45,45,25.14948261,-80.91095886,Ghost forest / die-off zone,-392,6.77,1.71,7513,51.68,30.54,15.64,0.13,NA,101.28,2981.4800000000005,NA,0.7000000000000001,1.06,14920.40556,63.96,42.40313465037053,1.5630607671712533,-61.01527969,1.0025349761325182,1743.6079102471065,56.8423969123476,-3124.4416567900003,4309.18831820131
CP40,90,90,25.14948261,-80.91095886,Ghost forest / die-off zone,-392,6.94,1.67,7390,50.32,31.17,17.06,0.13,NA,96.64999999999999,2637.9700000000003,NA,0.51,1.12,17383.89696,58.58,22.346416046006688,2.9257703839838163,-63.5918146,0.1751798219105507,1835.3784274329032,552.5590066547802,-3615.604476025,5006.497696195973
