Site,Depth_cm,CH4_mean_uM,CH4_sd_uM,d13C_CH4_mean,d13C_CH4_sd,CO2_mean_uM,CO2_sd_uM,d13C_CO2_mean,d13C_CO2_sd,n_replicates
BL60,0,11.075734153373517,6.197636400091572,-57.683160995,6.641455944064908,4463.526243342949,116.11895885253067,-33.62922452,5.225470379169226,2
BL60,15,16.085467490256125,2.2803974216395857,-62.22190938,0.003947282184617928,4940.325597482766,145.64920785391746,-46.69685222,21.555424633919454,2
BL60,45,4.817313281176606,1.3714511176683273,-62.28146231,0.07442931025450708,3669.014907603265,445.467168969274,-28.42823237,0.7133823114431701,2
BL60,90,23.452282493345603,3.5413986095643954,-65.28526084500001,0.10711124120873168,4746.501898115357,192.83529447639353,-588.3986233200001,775.1841224888371,2
BL60,Surface,86.62314846023602,16.227892139569445,-78.60009466,0.752344559766925,1097.9136354366037,49.543306134888724,-408.7048208,426.38099198268,2
CP40,0,59.85599678144264,8.206550994641152,-63.637861145,0.36579238367078215,2548.820007248758,67.84113652834569,-3280.34434517,4595.034340326611,2
CP40,15,43.96740786924459,1.4775036368012384,-61.81478371,1.381599195471821,1946.5116270380709,292.57271299445074,-4652.8466554999995,272.66127638667876,2
CP40,45,42.40313465037053,1.5630607671712533,-61.01527969,1.0025349761325182,1743.6079102471065,56.8423969123476,-3124.4416567900003,4309.18831820131,2
CP40,90,22.346416046006688,2.9257703839838163,-63.5918146,0.1751798219105507,1835.3784274329034,552.5590066547802,-3615.604476025,5006.497696195973,2
CP40,Surface,2.746804009439345,0.08189314358536717,-70.63958942,0.7662836284652315,37.09382361376752,18.347965745917193,-207.94988395000001,31.594031827148072,2
SRS5,0,3.656910550960829,4.170363278854751,-89.58206128500001,10.25296297234539,1824.005498427835,786.8286076948145,-320.4082987,131.89292421082823,2
SRS5,15,5.341781920145303,2.203141601467136,-98.5867028,3.0202251722382876,2733.3187846957535,50.23423368995133,-1476.9852025,174.98473892779296,2
SRS5,45,0.8101215222421702,0.24401119160121482,-79.484274025,2.6354960305611224,2500.3081951299073,337.3174217834764,-1486.57904145,990.6657144123665,2
SRS5,90,3.7333931758561985,1.5629807054323608,-85.64957682,0.8859509011478742,3479.50938466761,133.3969996443379,-2647.2564525,77.3275705378571,2
SRS5,Surface,0.2965567295151733,0.0023006513627065344,-72.41172065500001,0.15855876083080303,577.3380043258448,97.93633481345778,-19.634665079999998,0.41888991575355383,2
SRS6,0,0.18404153948354252,0.13592212026228978,-65.046252865,13.85729057577084,505.8804094789715,630.5553167131898,-260.47814435,221.1310700310602,2
SRS6,15,1.0430156108567625,0.09782217863457292,-77.343114765,1.022663074714917,1762.5163762965067,22.466700133725084,-28.808553515,1.9106575427446946,2
SRS6,45,0.6608017853136587,0.22779631127962421,-84.401779645,2.409240429205505,2326.23491475056,285.03565179119596,-269.49165849999997,338.04454243656676,2
SRS6,90,1.618042790558641,0.26601835844739036,-93.334133205,0.47579617951824954,2870.945922409164,430.2995972167163,-384.072710465,504.9746115230625,2
SRS6,Surface,0.46741603420716704,0.04603303857680032,-75.51140379,0.35261052026910783,590.986331968855,14.90010458261604,-19.184318179999998,0.01170975900712952,2
