period,train_start,train_end,n_train,n_night_temp,n_day_light,temp_intercept,temp_ta_slope,temp_rmse,light_alpha,light_pmax,light_rmse,n_boot_success
MAM_2022,2022-03-01,2022-06-01,4416,151,318,0.754685344248659,0.0344675281386915,3.19499827106595,0.0826189867972324,70.8404876989872,6.94246003741976,200
SON_2022,2022-09-01,2022-12-01,4368,1487,1326,0.0762537560202145,0.0581024119837068,4.06072576141885,0.117974533541214,28.5919933771769,7.84177161249126,200
MAM_2023,2023-03-01,2023-06-01,4416,1766,2134,1.39364155778113,0.00210285813408996,5.33043781475618,0.0902377076137709,34.2186406168809,7.72619594336458,200
