UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,MDF.lim,warn.nb.obs,rescued_analyzer,rescued_gas
Oct_22_1_FLM30_stem,2.093963978671449,789.2577588911269,986.4176814746442,0.5431402825992213,1.0753925156726398,1.250905612027324,1208.6005185983122,0.00240509983263443,0.11485870134979094,0.9995187040332432,0,2.11710864004075,788.8888151120709,9373.173456286288,0.549143632248417,1.2089722781050267,1.410238559417372,1298.405310635403,0.01093863891674444,0.5166782048810633,0.9993892884036852,6.397080889122303e-5,790.287,988.528,0.0037070108166777,0.35,3.8552912493448166,366,1.551829378854918,1,1.0110530370173731,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),2.093963978671449,LM,RMSE | MAE | AICc,3,1,0.35,0.35,0.018294793072126083,2,0.5,1,0.0037,60,LGR2,CO2
Oct_22_2_FLM30_stem,3.3764780964181083,670.4284710555983,929.691344768677,0.8758880868685095,1.9931438936214383,2.4095147385136393,1380.5029723894218,0.00627436022233976,0.18582558640009647,0.998972026285217,0,3.4035602346481326,670.0779355976404,15726.612850657555,0.8829134314924739,2.128812619164403,2.56843963642305,1420.7538416352843,0.02669045890650399,0.7841923476128319,0.9988330409393816,5.8639882049445675e-5,676.852,933.847,0.00454283446868692,0.35,3.8549195348571894,299,2.5025373910528845,1,1.0080208244972044,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),3.3764780964181083,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.020241022618818407,2,0.5,1,0.0045,60,LGR2,CO2
Oct_22_3_FLM30_stem,2.4071231519001843,888.287423312157,1064.9722627162462,0.6243280544314103,1.4693369453717806,1.741803345146068,1131.1853327971603,0.00487747287120783,0.2026266444804684,0.998835318544179,0,2.674886279861919,885.0884084678663,1805.6910083286436,0.6937769451526236,0.8179930567135503,1.0029728677137244,818.6298418337094,0.01211568467422901,0.4529420471233807,0.999613822212995,7.536117595774152e-4,885.178,1060.73,0.00475154846893156,0.35,3.85554218621876,285,1.783794441232601,1,1.111237818368521,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),2.674886279861919,HM,,0,4,0.35,0.35,0.02073221072156823,2,0.5,1,0.0048,60,LGR2,CO2
Oct_22_4_FLM30_stem,1.6689832282794703,514.3594271062034,635.5738507173086,0.4329086557539472,0.8283654533899514,0.9568072827942924,781.46521137466,0.00272215467825446,0.1631025783920365,0.9992530275105692,0,1.6864291672037566,514.1446483116642,6057.380602211966,0.4374338647794831,0.9075383278615105,1.03821663702127,829.5782576623001,0.01187688400158272,0.7042622502358405,0.9991215791264672,7.891308766528299e-5,515.416,636.337,0.00480194772061561,0.35,3.8552780271228215,282,1.2368818735827063,1,1.0104530342957796,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),1.6689832282794703,LM,RMSE | MAE | AICc,3,1,0.35,0.35,0.020842196696139476,2,0.5,1,0.0048,60,LGR2,CO2
Oct_22_5_FLM30_stem,5.901313276804572,634.8497254002331,971.6036342942668,1.5306995858819714,0.6109830373162118,0.7626626808701669,515.8216885505749,0.00310750090714505,0.05265778584165753,0.9999387239309188,0,5.999019676455391,633.9202256331869,10930.819769790496,1.5560429524291055,0.5855558159872397,0.7295653162412105,498.1970080871444,0.01204035382472593,0.20070535644317403,0.9999440326969488,1.5111761999387854e-4,632.984,971.78,0.00610568614446503,0.35,3.855304679790779,222,4.373427388234204,1,1.0165567213716409,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),5.999019676455391,HM,,0,4,0.35,0.35,0.02349046193249085,2,0.5,1,0.0061,60,LGR2,CO2
Oct_22_6_FLM30_stem,1.2656380624766663,539.3093416006964,638.4538293682988,0.32829300585298826,0.7959568760363586,1.009731456633819,877.5397301710893,0.00255490419411939,0.20186688990056303,0.9987627205479678,0,1.4110644281504527,537.45548408906,1040.5356676244032,0.3660150530422915,0.4655721156802809,0.5922502689798511,554.1519897040415,0.00651646342345299,0.4618118984116423,0.9995743363533836,7.275481424653999e-4,537.536,636.472,0.00445321140539625,0.35,3.8552087309573313,305,0.9379800167228234,1,1.1149035968381105,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),1.4110644281504527,HM,,0,4,0.35,0.35,0.020040941700985387,2,0.5,1,0.0045,60,LGR2,CO2
