UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,MDF.lim,warn.nb.obs,rescued_analyzer,rescued_gas
Mar_23_154_CP40_stem,0.20941334286076851,2162.0800060455126,2173.4753640141867,0.05426360937463889,2.2024344421967386,2.7566122038916716,1037.6823671851023,0.01207156406041622,5.7644674859338725,0.5870366529172473,2.0319656757048695e-42,0.264780267297391,2161.603220647326,2191.5676313106146,0.06861039892902539,2.2003676365813742,2.749453340481501,1038.6576680085293,0.0572674862858872,21.628305942287824,0.5891787818711692,0.00228972962959303,2164.94,2174.0400000000004,0.0164609814647525,0.9,3.859185654514197,212,0.06029289930515432,1,1.2643906242088596,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.264780267297391,HM,AICc,1,3,0.9,0.9,0.06181225377691006,2,0.5,1,0.016,60,LGR3,CH4
Mar_23_38_BL60_stem,2.5251992748270875,2096.3233333333337,2107.6358333333333,0.4918478260869445,2.0490338164250375,2.377497539456183,116.87937665820031,0.3759502275111112,14.887942954001296,0.657309759762996,9.44402934754477e-7,6.4261028282491015,2094.033131924872,2107.924110152834,1.251649617435405,1.723297203263371,2.1146603144514504,114.16123395692144,2.597307202841444,40.41807721195653,0.7288917000172985,0.0901052177100012,2093.83,2104.9500000000003,0.19252900548405888,0.9,5.134106812908237,24,0.5464975845410496,1,2.5447903824101674,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE) | Exaggerated curvature (g-fact),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),2.5251992748270875,LM,SE | g-fact. > 2 | nb.obs,1,3,0.9,0.9,0.1837117307087384,2,0.5,1,0.19,60,LGR3,CH4
Oct_22_236_BL60_stem,0.1815669543759907,2107.414468422503,2121.3914249066256,0.03529534465687418,1.9484814254165883,2.4762438308762396,1861.9544855039824,0.00557890526157864,3.0726435219185286,0.7266848138264116,4.284191694566256e-114,0.2389970261596839,2106.7184832722555,2139.2837884760406,0.04645934850460583,1.942395349966051,2.4581046995698066,1858.1281756629123,0.02719725724552845,11.379747138509092,0.7306743578011126,0.001426651714574,2107.17,2120.6800000000003,0.01166195561820917,0.9,5.144218200476715,399,0.03921704961874909,1,1.3163024460098969,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.2389970261596839,HM,,0,4,0.9,0.9,0.0450563556889583,2,0.5,1,0.012,60,LGR3,CH4
Oct_22_240_BL60_stem,0.28198812268990064,2045.8101321514991,2055.111998586849,0.05536825259136676,41.55719629796263,68.9295157995043,3849.447072347294,0.3916029539351457,138.87214475546807,-0.00142230017570166,0.471969186738051,0.2816076593974469,2045.8117050663495,14008.115877318513,0.05529354877945662,41.55883350307579,68.9295390109405,3851.495275745197,1.5545064922331338,552.0114387368923,-0.00142296364527427,4.622315900285824e-6,2057.47,2019.91,0.02712225554714133,0.9,5.092956874963205,340,0.06152028065707417,1,0.9986507825619588,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),0.2816076593974469,HM,SE | AICc,2,2,0.9,0.9,0.04880935300919764,2,0.5,1,0.027,60,LGR3,CH4
Oct_22_241_BL60_stem,0.2313592764941311,2074.494560125826,2081.1325141677,0.04546543864297266,20.116888747036104,20.88259904882606,2645.1322120635928,0.1463143700855901,63.241194519080224,0.0050601797227292,0.11489653974313226,1.821820570442803,2069.859271740264,2079.652771622738,0.35801404905445344,20.11671157013764,20.832417439388863,2645.7631687873604,2.7162720148552295,149.09657179878178,0.00983618412557052,0.03655629278100475,2056.34,2104.75,0.03115521170737757,0.9,5.08868457887167,296,0.0505171540477474,1,7.874421972827259,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE) | Exaggerated curvature (g-fact),Noise (LM.RMSE) | Noise (LM.MAE),0.2313592764941311,LM,SE | AICc | g-fact. > 2,2,2,0.9,0.9,0.05231143743471868,2,0.5,1,0.031,60,LGR3,CH4
Oct_22_242_BL60_CWD,-3.15641017113149,2059.343854057352,2011.24220577198,-0.2796607458451857,69.98838169169973,72.68069510413271,3976.759748489208,0.8855743835348081,-28.056378465456312,0.03262828438030718,4.161461676982448e-4,-8.666920330381927,2070.3988877092625,2012.4292886976152,-0.7678968424140343,70.01556446724483,72.56845891442335,3977.730979728144,7.530389347411554,-86.88656478142232,0.03561367914509217,0.01324654397315654,2124.82,1965.19,0.05871625243098297,0.9,11.286568522844505,348,0.3107341620502063,1,2.745815613461626,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE) | Exaggerated curvature (g-fact),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),-3.15641017113149,LM,SE | AICc | g-fact. > 2,2,2,0.9,0.9,0.048245064067700766,2,0.5,1,0.059,60,LGR3,CH4
Oct_22_243_BL60_CWD,0.21804964883086683,1999.1737831090425,2006.227407633178,0.04300990563497332,48.63664752489726,50.03016464619421,3546.232098098435,0.29391360063280525,134.79205410726587,-0.0013601826923788,0.4586856178203256,0.2180943007194882,1999.173272912755,4410.2582249907355,0.04301871314063236,48.63692072522227,50.03017856751863,3548.2814362894446,1.1666688079309584,534.9377787874989,-0.00136073378386392,1.7842056167932582e-5,2051.46,1954.37,0.02765320461267213,0.9,5.06975417898989,332,0.04778878403885925,1,1.0002047785394783,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),0.2180943007194882,HM,SE | AICc,2,2,0.9,0.9,0.04939391699536066,2,0.5,1,0.028,60,LGR3,CH4
Oct_22_251_BL60_stem,7.178807010935696,2058.249633202636,2300.9533946020933,1.4110683802294008,222.0337234429144,267.5979527242535,4883.933018243717,1.4653602663263987,20.412308954596085,0.06216280073823299,1.4820503181490206e-6,7.17297805723644,2058.2737378737907,197384.109065822,1.409922639406126,222.0217680555684,267.6016768558041,4885.989554966422,5.855230932298997,81.62900939578314,0.06213699788432347,7.21831107000717e-6,2433.2799999999997,1970.29,0.02646675056846449,0.9,5.087497609271508,348,1.5678537558104453,1,0.9991880330965331,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),7.17297805723644,HM,SE | AICc,2,2,0.9,0.9,0.048245064067700766,2,0.5,1,0.026,60,LGR3,CH4
Oct_22_252_BL60_stem,7.525349545880419,2061.253451012118,2132.3804982740676,0.6585837709439769,45.06241879526103,49.26132054770247,2345.185313739296,1.214884595400466,16.143895881428218,0.14576338652973253,2.8803832145887422e-9,7.554888496314146,2061.204667798339,9342.4512169142,0.6611688832032502,45.06203202751448,49.2623922898981,2347.269821790954,4.845857356103976,64.14201028205984,0.14572656439341758,9.08043531754235e-5,2055.08,2212.37,0.0943477753673148,0.9,11.426563905597014,220,0.7317597454933077,1,1.003925259584772,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),7.554888496314146,HM,SE | AICc,2,2,0.9,0.9,0.06067798762169179,2,0.5,1,0.094,60,LGR3,CH4
Oct_22_253_BL60_CWD,0.14114628925345646,2086.311187926303,2093.3975580483548,0.02800936807135197,1.929290921119879,2.4688931687437843,1195.3219765748631,0.01061705675931116,7.522023296160558,0.4079932037588475,5.7398577552824005e-31,0.2240296135670313,2085.6809388890338,2097.3177575253108,0.04445691019204789,1.9259409667063068,2.454276994334458,1194.345985398031,0.05970392005111386,26.650012514193804,0.41498197233988343,0.00382036633736445,2086.8,2093.34,0.01785562050836107,0.9,5.039252899026348,256,0.03112152007927997,1,1.5872157514870349,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.2240296135670313,HM,,0,4,0.9,0.9,0.05625,2,0.5,1,0.018,60,LGR3,CH4
