"","source_file","...1","segment_class","height_bin","height_bin_num","Total_volume_m3","Total_surface_area_m2","site"
"58","FLM30_ghost_component_summary.csv",16,"branch","[8,8.5)",8,0.041648793,2.40283558,"FLM30"
"59","FLM30_ghost_component_summary.csv",17,"branch","[8.5,9)",8.5,0.017527306,0.977885807,"FLM30"
"60","FLM30_ghost_component_summary.csv",18,"branch","[9,9.5)",9,0.008922624,0.461448187,"FLM30"
"61","FLM30_ghost_component_summary.csv",19,"branch","[9.5,10)",9.5,0.004519626,0.225184209,"FLM30"
"62","FLM30_ghost_component_summary.csv",20,"branch","[10,10.5)",10,0.00367137,0.171887844,"FLM30"
"63","FLM30_ghost_component_summary.csv",21,"branch","[10.5,11]",10.5,0.004049617,0.166994499,"FLM30"
"64","FLM30_ghost_component_summary.csv",22,"root","[0,0.5)",0,0.368356141,42.6181507,"FLM30"
"65","FLM30_ghost_component_summary.csv",23,"root","[0.5,1)",0.5,0.047431331,6.003778465,"FLM30"
"66","FLM30_ghost_component_summary.csv",24,"trunk","[0,0.5)",0,1.413473716,59.12687936,"FLM30"
"67","FLM30_ghost_component_summary.csv",25,"trunk","[0.5,1)",0.5,0.790620713,32.60968795,"FLM30"
"68","FLM30_ghost_component_summary.csv",26,"trunk","[1,1.5)",1,0.683568495,29.1748018,"FLM30"
"69","FLM30_ghost_component_summary.csv",27,"trunk","[1.5,2)",1.5,0.605788016,25.69052881,"FLM30"
"70","FLM30_ghost_component_summary.csv",28,"trunk","[2,2.5)",2,0.584545254,22.64310307,"FLM30"
"71","FLM30_ghost_component_summary.csv",29,"trunk","[2.5,3)",2.5,0.552968446,21.34893453,"FLM30"
"72","FLM30_ghost_component_summary.csv",30,"trunk","[3,3.5)",3,0.442830302,18.38436899,"FLM30"
"73","FLM30_ghost_component_summary.csv",31,"trunk","[3.5,4)",3.5,0.441186322,17.07137282,"FLM30"
"74","FLM30_ghost_component_summary.csv",32,"trunk","[4,4.5)",4,0.398936132,15.01874308,"FLM30"
"75","FLM30_ghost_component_summary.csv",33,"trunk","[4.5,5)",4.5,0.299211773,12.35597118,"FLM30"
"76","FLM30_ghost_component_summary.csv",34,"trunk","[5,5.5)",5,0.254708853,10.69783688,"FLM30"
"77","FLM30_ghost_component_summary.csv",35,"trunk","[5.5,6)",5.5,0.226821003,9.242357111,"FLM30"
"78","FLM30_ghost_component_summary.csv",36,"trunk","[6,6.5)",6,0.165715737,6.726616586,"FLM30"
"79","FLM30_ghost_component_summary.csv",37,"trunk","[6.5,7)",6.5,0.122421233,4.828717067,"FLM30"
"80","FLM30_ghost_component_summary.csv",38,"trunk","[7,7.5)",7,0.08865098,3.54408408,"FLM30"
"81","FLM30_ghost_component_summary.csv",39,"trunk","[7.5,8)",7.5,0.063547841,2.311825463,"FLM30"
"82","FLM30_ghost_component_summary.csv",40,"trunk","[8,8.5)",8,0.035822954,1.253761248,"FLM30"
"83","FLM30_ghost_component_summary.csv",41,"trunk","[8.5,9)",8.5,0.013533693,0.439619082,"FLM30"
"84","FLM30_ghost_component_summary.csv",42,"trunk","[9,9.5)",9,0.008738555,0.237138535,"FLM30"
"85","FLM30_ghost_component_summary.csv",43,"trunk","[9.5,10)",9.5,0.005168733,0.140264132,"FLM30"
"86","FLM30_ghost_component_summary.csv",44,"trunk","[10,10.5)",10,0.004255996,0.139084841,"FLM30"
"87","SRS5_plot_component_summary.csv",1,"root","0-0.5",0,2.399065487,281.0947555,"SRS5"
"88","SRS5_plot_component_summary.csv",2,"trunk","0–0.5",0,0.775359642,30.89988231,"SRS5"
"89","SRS5_plot_component_summary.csv",3,"branch","0.5–1",0.5,0.039719493,4.290198009,"SRS5"
"90","SRS5_plot_component_summary.csv",4,"root","0.5-1",0.5,1.465419877,122.4774825,"SRS5"
"91","SRS5_plot_component_summary.csv",5,"trunk","0.5–1",0.5,1.346742344,55.4832215,"SRS5"
