"","height_bin","segment_class","Total_surface_area_m2","Total_volume_m3","height_bin_num"
"1","0-0.5","root",239.758897704907,2.62123132957373,0
"2","0–0.5","trunk",47.7342965440504,1.76192988684358,0
"3","0.5–1","branch",4.97855331796069,0.0568692666697381,0.5
"4","0.5-1","root",170.078399351823,2.50420308215231,0.5
"5","0.5–1","trunk",30.6998842453723,0.999950810994348,0.5
"6","1–1.5","branch",23.8407841835559,0.225126808319185,1
"7","1-1.5","root",2.73965113196791,0.0168335471770618,1
"8","1–1.5","trunk",79.4977719460119,2.37596995370203,1
"9","1.5–2","branch",31.7453174362467,0.305721857174147,1.5
"10","1.5-2.0","root",0.16531337003343,0.00102169640377497,1.5
"11","1.5–2","trunk",71.2926298710593,2.67068125321798,1.5
"12","2–2.5","branch",35.8393870098432,0.323719346594543,2
"13","2–2.5","trunk",56.7286793272069,2.10544484847084,2
"14","2.5–3","branch",32.5153576726297,0.291478504467275,2.5
"15","2.5–3","trunk",46.3760261956693,1.72094054000166,2.5
"16","3–3.5","branch",32.0041176293153,0.277888955484488,3
"17","3–3.5","trunk",50.9341607776479,2.1302396293167,3
"18","3.5–4","branch",29.4565578606822,0.28636022223441,3.5
"19","3.5–4","trunk",39.2785482408202,1.54330410352808,3.5
"20","4–4.5","branch",28.5948091312016,0.300651953715138,4
"21","4–4.5","trunk",40.1863641539997,1.59101147594136,4
"22","4.5–5","branch",34.1152933394281,0.338969827681382,4.5
"23","4.5–5","trunk",37.7776676815398,1.58852392019343,4.5
"24","5–5.5","branch",36.9651215708901,0.377236797686728,5
"25","5–5.5","trunk",32.3831367086358,1.28622292846288,5
"26","5.5–6","branch",39.5895010710532,0.408311158076806,5.5
"27","5.5–6","trunk",33.4931142347375,1.33594035316097,5.5
"28","6–6.5","branch",42.0361104093203,0.517150805862663,6
"29","6–6.5","trunk",29.5950898444942,1.22193896001527,6
"30","6.5–7","branch",42.6075323094713,0.515284589757591,6.5
"31","6.5–7","trunk",24.8339818620517,0.947190414911949,6.5
"32","7–7.5","branch",43.2724847636272,0.43980799071433,7
"33","7–7.5","trunk",21.9907674371078,0.89136386310721,7
"34","7.5–8","branch",44.1828950668519,0.43796793862854,7.5
"35","7.5–8","trunk",22.5865505661637,0.841842067576491,7.5
"36","8–8.5","branch",46.2407784956493,0.467538380793711,8
"37","8–8.5","trunk",18.3055848810037,0.713003188128931,8
"38","8.5–9","branch",46.8328785471418,0.456063255264965,8.5
"39","8.5–9","trunk",16.7795873512897,0.62697668938805,8.5
"40","9–9.5","branch",48.142743801403,0.480342438345498,9
"41","9–9.5","trunk",18.2177377194366,0.703693837682653,9
"42","9.5–10","branch",49.214005156456,0.472901739307227,9.5
"43","9.5–10","trunk",16.5880284879097,0.604101697633016,9.5
"44","10–10.5","branch",50.8916008051556,0.468167214539341,10
"45","10–10.5","trunk",13.9662621645158,0.546097196615604,10
"46","10.5–11","branch",48.6631147581014,0.491494326945497,10.5
"47","10.5–11","trunk",9.47547736000413,0.327050263791968,10.5
"48","11–11.5","branch",48.285107837102,0.453760711452119,11
"49","11–11.5","trunk",6.89699319842173,0.220628263036262,11
"50","11.5–12","branch",47.6746924889346,0.456520100708075,11.5
"51","11.5–12","trunk",4.88621493553599,0.148069743007561,11.5
"52","12–12.5","branch",41.4078212210777,0.356193472412399,12
"53","12–12.5","trunk",3.96805356925266,0.120334647243358,12
"54","12.5–13","branch",34.349738209786,0.282595646617968,12.5
"55","12.5–13","trunk",3.07534406717981,0.100536624428065,12.5
"56","13–13.5","branch",29.3767224515321,0.220930782565751,13
"57","13–13.5","trunk",1.81455319193731,0.069147273328141,13
"58","13.5–14","branch",24.7812176824613,0.190295424453218,13.5
"59","13.5–14","trunk",0.652660658739474,0.0279850205464765,13.5
"60","14–14.5","branch",19.8091493657199,0.141772635594307,14
"61","14–14.5","trunk",0.686850046101814,0.0292818144725114,14
"62","14.5–15","branch",18.2623529218428,0.118940529739437,14.5
"63","14.5–15","trunk",0.970046214089984,0.0421202105022233,14.5
"64","15–15.5","branch",15.208133237825,0.106563319916538,15
"65","15–15.5","trunk",0.324150912298162,0.0156455094238717,15
"66","15.5–16","branch",12.3893054258546,0.0881897433113075,15.5
"67","15.5–16","trunk",0.512706790092499,0.0237994648951176,15.5
"68","16–16.5","branch",9.24984245792468,0.0607034023123092,16
"69","16–16.5","trunk",0.202654528809558,0.00821764114322756,16
"70","16.5–17","branch",8.56814179634137,0.0690464026282549,16.5
"71","16.5–17","trunk",0.173103765832096,0.00643946008895397,16.5
"72","17–17.5","branch",5.38272562169403,0.0356916761248195,17
"73","17.5–18","branch",2.19461289240841,0.0203687770830228,17.5
"74","18–18.5","branch",0.582026785976195,0.00259688637355962,18
"75","18.5–19","branch",0.0851588379015932,0.000221233420816026,18.5
