"","segment_class","height_bin","height_bin_numeric","Total_volume_m3","Toal_Surface_area_m2"
"1","branch","[1.5,2)",1.5,0.257620302263097,9.77188700386145
"2","branch","[2,2.5)",2,0.205444097769057,10.3216576757625
"3","branch","[2.5,3)",2.5,0.396749725907291,15.2542697250578
"4","branch","[3,3.5)",3,0.311638665924827,11.7160816608966
"5","branch","[3.5,4)",3.5,0.35620849115108,13.29158692092
"6","branch","[4,4.5)",4,0.379380807699053,13.9483731191321
"7","branch","[4.5,5)",4.5,0.331185721222404,13.9531247780207
"8","branch","[5,5.5)",5,0.418453746557818,15.8221210794943
"9","branch","[5.5,6)",5.5,0.407046050599851,16.4370711281616
"10","branch","[6,6.5)",6,0.409600853216099,16.1675384377743
"11","branch","[6.5,7)",6.5,0.381970872009917,15.1702985976748
"12","branch","[7,7.5)",7,0.34177420598927,13.9642685726497
"13","branch","[7.5,8)",7.5,0.296103646367989,12.0115736455398
"14","branch","[8,8.5)",8,0.329118573240013,15.0253894949354
"15","branch","[8.5,9)",8.5,0.20247024245671,9.59673504528291
"16","branch","[9,9.5)",9,0.168846981946918,7.78557961146417
"17","branch","[9.5,10)",9.5,0.102990144308843,5.16268834657289
"18","branch","[10,10.5)",10,0.0709321378160505,4.19555218975793
"19","branch","[10.5,11)",10.5,0.028055538293409,1.77060771425296
"20","branch","[11,11.5)",11,0.00943338971968414,0.582547913365572
"21","branch","[11.5,12]",11.5,0.000376223884956101,0.0369462605795713
"22","root","[0,0.5)",0,0.337780276110931,33.7776514857977
"23","root","[0.5,1)",0.5,0.191403763968618,16.0762313145541
"24","root","[1,1.5)",1,0.114794122127586,8.08322559769437
"25","trunk","[0,0.5)",0,1.56407050789349,46.7457459094078
"26","trunk","[0.5,1)",0.5,0.948255539539603,28.9555235324304
"27","trunk","[1,1.5)",1,0.639878460599858,23.2012592148515
"28","trunk","[1.5,2)",1.5,0.673814064349102,19.5563354774527
"29","trunk","[2,2.5)",2,0.580993538998091,16.6466061847055
"30","trunk","[2.5,3)",2.5,0.433643448517651,13.0689956566352
"31","trunk","[3,3.5)",3,0.372044277646538,10.9315420319395
"32","trunk","[3.5,4)",3.5,0.298270412239665,9.03239102771672
"33","trunk","[4,4.5)",4,0.255925489423735,7.71086135409195
"34","trunk","[4.5,5)",4.5,0.265865096100523,7.44535329522129
"35","trunk","[5,5.5)",5,0.129927969673931,4.17361683586833
"36","trunk","[5.5,6)",5.5,0.101360723249327,3.29587708562168
"37","trunk","[6,6.5)",6,0.091140814829261,3.02706218632385
"38","trunk","[6.5,7)",6.5,0.0531210361378372,1.8406241383961
"39","trunk","[7,7.5)",7,0.0152306944346703,0.524643459875373
"40","trunk","[7.5,8)",7.5,0.017826355841564,0.632882448029535
"41","trunk","[8,8.5)",8,0.00540427366433333,0.206754181558786
"42","trunk","[8.5,9)",8.5,0.00322785738237093,0.124868757538527
