"","site","total_ba_m2","n_trees","mean_height","p95_height","mean_crown_rad","mean_dbh","Plot_Area_ha","tree_density_ha","area_m2","non_tree_m2"
"1","CP40",1.23801755649042,105,6.13493047619048,11.783,2.13293523809524,0.108031428571429,0.190182374,552.101636926669,1901.82374,1900.58572244351
"2","FLM30",1.17651278284133,158,5.57524050632911,9.400125,1.30554367088608,0.090379746835443,0.210173357,751.76036703834,2101.73357,2100.55705721716
"3","SRS5",4.32432280537221,566,7.55373621908127,14.681425,2.80787049469965,0.0889074204946996,0.176730492,3202.61655809797,1767.30492,1762.98059719463
"4","SRS6",4.19019453335446,371,8.64176172506738,19.22375,3.16777196765499,0.105949326145553,0.219063319,1693.5742674473,2190.63319,2186.44299546665
