"gas","campaign","class","flux","se","units","source","note","daily","daily_se","basis"
"CO2","Apr 2022","mangrove_forest",-10.8,5,"umol m-2 s-1","Table S2 flight mean","strong sink",-1.866,2.20851171606582,"midday->daily (FigS24a)"
"CO2","Oct 2022","mangrove_forest",-11.5,5,"umol m-2 s-1","Table S2 flight mean","strong sink",-2.16,2.21415898254845,"midday->daily (FigS24a)"
"CO2","Feb 2023","mangrove_forest",-11.3,4,"umol m-2 s-1","Table S2 flight mean","strong sink; paper max single flight -11",-2.076,1.81868194030732,"midday->daily (FigS24a)"
"CO2","Apr 2023","mangrove_forest",-11.7,4,"umol m-2 s-1","Table S2 flight mean","strong sink",-2.244,1.82272433461563,"midday->daily (FigS24a)"
"CO2","Apr 2022","ghost_forest",0.2,0.5,"umol m-2 s-1","Table S2","near-zero/slight source",0.2,0.5,"midday~=daily (GPP~0)"
"CO2","Oct 2022","ghost_forest",-1,2,"umol m-2 s-1","Table S2","near-zero",-1,2,"midday~=daily (GPP~0)"
"CO2","Feb 2023","ghost_forest",-2.5,2,"umol m-2 s-1","Table S2","near-zero",-2.5,2,"midday~=daily (GPP~0)"
"CO2","Apr 2023","ghost_forest",1.1,0.8,"umol m-2 s-1","paper text (deployment mean)","small source",1.1,0.8,"midday~=daily (GPP~0)"
