SysTime.......................Time..........Batt_v.......Batt_v_sd....BATT_PERCENT.BATT_PERCENT_sd........CH4._ppm.....CH4._ppm_sd........H2O._ppm.....H2O._ppm_sd........CO2._ppm.....CO2._ppm_sd.......CH4.d_ppm....CH4.d_ppm_sd.......CO2.d_ppm....CO2.d_ppm_sd.......GasP_torr....GasP_torr_sd..........GasT_C.......GasT_C_sd..........AmbT_C.......AmbT_C_sd..........RD0_us.......RD0_us_sd..........RD1_us.......RD1_us_sd..Temp_Status_mA.Temp_Status_mA_sd.Analyzer_Status_mA.Analyzer_Status_mA_sd........Fit_Flag.......MIU_VALVE........MIU_DESC,source_file
"10/15/2022 12:59:01.103, 10/15/2022 12:59:00.943, 4.14732e+0, 0.00000e+0, -2.10375e+2, 0.00000e+0, 1.97363e+0, 0.00000e+0, -5.38421e+4, 0.00000e+0, -9.86930e+1, 0.00000e+0, 9.36399e-1, 0.00000e+0, -4.68253e+1, 0.00000e+0, 5.02062e+2, 0.00000e+0, 3.59701e+1, 0.00000e+0, 3.55671e+1, 0.00000e+0, 9.72195e-1, 0.00000e+0, 1.04215e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.35000e+1, 0.00000e+0, 2, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:02.020, 10/15/2022 12:59:01.938, 4.15211e+0, 0.00000e+0, 9.61812e+1, 0.00000e+0, 5.50233e+0, 0.00000e+0, -1.33418e+2, 0.00000e+0, -4.20372e+5, 0.00000e+0, 5.50160e+0, 0.00000e+0, -4.20316e+5, 0.00000e+0, 5.02827e+2, 0.00000e+0, 3.59558e+1, 0.00000e+0, 3.56630e+1, 0.00000e+0, 3.41262e+0, 0.00000e+0, 3.57026e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 2, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:03.017, 10/15/2022 12:59:02.932, 4.15214e+0, 0.00000e+0, 9.61854e+1, 0.00000e+0, 5.50295e+0, 0.00000e+0, 8.26989e+1, 0.00000e+0, -6.00349e+1, 0.00000e+0, 5.50340e+0, 0.00000e+0, -6.00399e+1, 0.00000e+0, 5.02323e+2, 0.00000e+0, 3.59592e+1, 0.00000e+0, 3.57252e+1, 0.00000e+0, 3.41285e+0, 0.00000e+0, 3.57262e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:03.988, 10/15/2022 12:59:03.927, 4.15268e+0, 0.00000e+0, 9.62660e+1, 0.00000e+0, 5.50522e+0, 0.00000e+0, 8.79829e+1, 0.00000e+0, 5.29427e+1, 0.00000e+0, 5.50571e+0, 0.00000e+0, 5.29473e+1, 0.00000e+0, 5.02832e+2, 0.00000e+0, 3.59597e+1, 0.00000e+0, 3.56907e+1, 0.00000e+0, 3.41352e+0, 0.00000e+0, 3.57264e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.20000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:04.983, 10/15/2022 12:59:04.921, 4.15234e+0, 0.00000e+0, 9.62154e+1, 0.00000e+0, 5.51164e+0, 0.00000e+0, 1.67916e+2, 0.00000e+0, 7.09581e+2, 0.00000e+0, 5.51256e+0, 0.00000e+0, 7.09700e+2, 0.00000e+0, 5.02373e+2, 0.00000e+0, 3.59604e+1, 0.00000e+0, 3.57502e+1, 0.00000e+0, 3.41279e+0, 0.00000e+0, 3.57652e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:05.978, 10/15/2022 12:59:05.916, 4.15318e+0, 0.00000e+0, 9.63394e+1, 0.00000e+0, 5.51238e+0, 0.00000e+0, 2.23223e+2, 0.00000e+0, 7.13911e+2, 0.00000e+0, 5.51361e+0, 0.00000e+0, 7.14070e+2, 0.00000e+0, 5.02793e+2, 0.00000e+0, 3.59599e+1, 0.00000e+0, 3.57014e+1, 0.00000e+0, 3.41421e+0, 0.00000e+0, 3.57703e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:06.973, 10/15/2022 12:59:06.911, 4.15258e+0, 0.00000e+0, 9.62515e+1, 0.00000e+0, 5.51816e+0, 0.00000e+0, 2.46196e+2, 0.00000e+0, 7.16875e+2, 0.00000e+0, 5.51951e+0, 0.00000e+0, 7.17052e+2, 0.00000e+0, 5.02411e+2, 0.00000e+0, 3.59689e+1, 0.00000e+0, 3.57800e+1, 0.00000e+0, 3.41374e+0, 0.00000e+0, 3.57708e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:07.954, 10/15/2022 12:59:07.905, 4.15318e+0, 0.00000e+0, 9.63397e+1, 0.00000e+0, 5.51847e+0, 0.00000e+0, 2.80403e+2, 0.00000e+0, 7.17173e+2, 0.00000e+0, 5.52002e+0, 0.00000e+0, 7.17374e+2, 0.00000e+0, 5.02789e+2, 0.00000e+0, 3.59768e+1, 0.00000e+0, 3.57122e+1, 0.00000e+0, 3.41395e+0, 0.00000e+0, 3.57685e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:08.962, 10/15/2022 12:59:08.900, 4.15254e+0, 0.00000e+0, 9.62449e+1, 0.00000e+0, 5.52357e+0, 0.00000e+0, 3.12593e+2, 0.00000e+0, 7.20296e+2, 0.00000e+0, 5.52530e+0, 0.00000e+0, 7.20521e+2, 0.00000e+0, 5.02426e+2, 0.00000e+0, 3.59776e+1, 0.00000e+0, 3.57869e+1, 0.00000e+0, 3.41392e+0, 0.00000e+0, 3.57706e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
"10/15/2022 12:59:09.956, 10/15/2022 12:59:09.894, 4.15318e+0, 0.00000e+0, 9.63386e+1, 0.00000e+0, 5.52600e+0, 0.00000e+0, 2.04969e+2, 0.00000e+0, 7.21356e+2, 0.00000e+0, 5.52714e+0, 0.00000e+0, 7.21503e+2, 0.00000e+0, 5.02731e+2, 0.00000e+0, 3.59662e+1, 0.00000e+0, 3.57232e+1, 0.00000e+0, 3.41405e+0, 0.00000e+0, 3.57570e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled",micro_2022-10-15_f0000.txt
