Species,Forest Type,Source,Mean leaf area 1 leaf (cm2),1-sided leaf area for 15 leaves (cm2)
Rhizophora mangle,Scrub,"Lin & Sternberg (1992), Aquatic Botany 42:303-313",23.4,351
Rhizophora mangle,Fringe,,28.5,428
Laguncularia racemosa,Scrub,,12.6,189
Laguncularia racemosa,Fringe,,14.1,212
Avicennia germinans,Scrub,,9.4,141
Avicennia germinans,Fringe,,8.9,134
