site,season,analyzer,n_traces,n_processed,n_additional,n_with_ebull,pct_with_ebull,total_obs_sec,total_jumps,jumps_per_hour,mean_diff_rate,total_ebull_ppm,total_rise_ppm,diffusive_ppm_hr,ebullitive_ppm_hr,pct_CH4_ebullitive,mean_diff_proc_ppm_s,mean_diff_add_ppm_s,n_water_fluxes,mean_flux_nmol,expected_ppm_s,diff_nmol,diff_proc_nmol,diff_add_nmol,ebull_nmol,total_nmol
BL60,dry (Mar 2023),LGR3,2,2,0,0,0,580.893000125885,0,0,0.0013297637090736961,0,0.7591000000000001,4.787149352665306,0,0,0.0013297637090736961,NA,4,6.861231749094879,0.0012678382795022149,7.237389470253937,7.237389470253937,NA,0,7.237389470253937
BL60,wet (Oct 2022),Picarro,5,4,1,2,40,1466.3350002765656,6,14.730603849683751,0.007731398241550833,0.7896516355000003,10.0882620796,27.833033669583,1.9386742369675625,6.5,0.006333951475696488,0.01332118530496821,4,38.829076736856564,0.007190013127431621,42.07900985861447,34.4732476924324,72.50205852334273,2.9309594239147185,45.00996928252919
CP40,dry (Mar 2023),LGR3,5,4,1,0,0,1862.972999572754,0,0,0.0012723991745587802,0,2.4053500000000003,4.5806370284116085,0,0,0.001277337677086366,0.001252645164448437,12,16.727623691400723,0.003047210945925737,6.925176499459694,6.9520548583350985,6.817663063958075,0,6.925176499459694
CP40,wet (Oct 2022),LGR2,12,5,7,3,25,3203.865999698639,26,29.214704987288535,0.00773671363709868,5.929690000000001,31.26895,27.85216909355525,6.662851692925961,19.3,0.005361604440563739,0.009433220206052209,5,39.75159172019475,0.007394865480052758,42.10793950040401,29.181138917404624,51.341368488260706,10.073145651367229,52.181085151771235
FLM30,dry (Mar 2023),LGR1,25,14,11,0,0,10852.34200000763,0,0,8.706038231736092e-4,0,8.66811,3.134173763424993,0,0,9.495675083546426e-4,7.701045874886578e-4,12,6.072334777178883,0.0011289541988587274,4.738359830099936,5.168128622677194,4.191381366819791,0,4.738359830099936
FLM30,wet (Oct 2022),Picarro,6,3,3,1,16.7,2371.581000328064,2,3.035949435842172,0.0026449936740383624,0.28624201819999984,5.6543078459,9.521977226538105,0.43450814683430716,4.4,0.002130027517121068,0.003159959830955657,3,13.022240441894127,0.0024256332712672786,14.39567739347338,11.592915807953368,17.19843897899339,0.6569054890437692,15.052582882517148
SE1,dry (Mar 2023),LGR2,5,5,0,0,0,2786.919999599457,0,0,1.3001161947008398e-4,0,0.35858000000000056,0.4680418300923023,0,0,1.3001161947008398e-4,NA,1,1.6120419754546949,2.9777844402384255e-4,0.7076029518198409,0.7076029518198409,NA,0,0.7076029518198409
SRS5,dry (Mar 2023),LGR3,9,8,1,0,0,3783.4549996852875,0,0,6.935909307197055e-5,0,0.25446999999999975,0.24969273505909398,0,0,7.471958955349409e-5,2.6475121219782242e-5,5,0.5459894228240441,1.0152206446495374e-4,0.37749471311344274,0.4066698218383882,0.14409384331387962,0,0.37749471311344274
SRS6,dry (Mar 2023),LGR2,6,3,3,0,0,2621.854999780655,0,0,2.0377714918380462e-4,0,0.5520500000000004,0.7335977370616966,0,0,2.365480383465339e-4,1.710062600210753e-4,3,1.3664593038532828,2.531789917887333e-4,1.1090801950134273,1.2874394678216847,0.9307209222051696,0,1.1090801950134273
