site,season,n_traces,n_processed,n_additional,n_HM,n_LM,n_with_ebull,mean_diff,mean_ebull,mean_total,mean_simpleLM,n_wflux,mean_proc_flux,diff_vs_proc,total_vs_proc,pct_ebullitive
BL60,dry (Mar 2023),2,2,0,1,1,0,11.258502591486778,0,11.258502591486778,7.196357080394225,10,6.861231749094879,1.6408865059793352,1.6408865059793352,0
BL60,wet (Oct 2022),5,4,1,2,3,2,52.22924355224824,4.3334026951101565,56.5626462473584,41.7527826839465,4,38.829076736856564,1.3451065011461434,1.4567085030293583,7.7
CP40,dry (Mar 2023),5,4,1,2,3,0,7.5518573180259,0,7.5518573180259,6.984818233777382,12,16.727623691400723,0.45146025863243994,0.45146025863243994,0
CP40,wet (Oct 2022),12,5,7,8,4,3,48.46404904869389,9.35609010867452,57.82013915736841,41.58921924781455,5,39.75159172019475,1.2191725400538616,1.454536451379239,16.2
FLM30,dry (Mar 2023),25,14,11,21,4,0,5.627945894338399,0,5.627945894338399,4.682739014520054,12,6.072334777178883,0.9268174599808643,0.9268174599808643,0
FLM30,wet (Oct 2022),6,3,3,4,2,1,16.147874598314438,3.499139759766277,19.647014358080714,14.199897403543275,3,13.022240441894127,1.240022764927974,1.5087276606315674,17.8
SE1,dry (Mar 2023),5,5,0,5,0,0,1.0031449044973682,0,1.0031449044973682,0.7038259218851893,1,1.6120419754546949,0.6222821240212555,0.6222821240212555,0
SRS5,dry (Mar 2023),9,8,1,7,2,0,0.46302290680862024,0,0.46302290680862024,0.3730157714339739,5,0.5459894228240441,0.8480437302497682,0.8480437302497682,0
SRS6,dry (Mar 2023),6,3,3,5,1,0,1.1609126038758082,0,1.1609126038758082,1.0998273571105184,3,1.3664593038532828,0.8495771521348254,0.8495771521348254,0
