flux_id,new_CH4_best.flux,new_CH4_model,new_CH4_LM.flux,new_CH4_LM.r2,new_CH4_LM.p.val,new_CH4_HM.flux,new_CH4_HM.r2,n_obs,new_start,new_end
45005_MI_Soil_157,0.0021947708684003655,LM,0.0021947708684003655,0.9070004782229186,1.3345544676659113e-74,0.0018477649717274028,0.8060910309393561,143,10,152
45005_MI_Soil_166,0.002113441571415701,LM,0.002113441571415701,0.881487240525631,5.448603155287678e-63,0.002064589290692988,0.8794246200764706,134,8,140
Mar_23_94_SE1_leaves,2.7216662152565825e-6,LM,2.7216662152565825e-6,0.005115197420082835,0.09717243866645547,NA,NA,539,63,599
Mar_23_243_SRS6_CWD,-1.6271963092278475e-5,LM,-1.6271963092278475e-5,0.0662216125116735,3.45447136728419e-9,NA,NA,512,8,518
Oct_22_29_SRS6_stem,0.001589611808644408,HM,0.0015958077877846017,0.986140521638085,7.310225416225574e-147,0.001589611808644408,0.9861414899164566,158,414,571
Oct_22_23_SRS6_stem,-1.0012260560587838e-4,LM,-1.0012260560587838e-4,0.13137724340099693,3.065079900549534e-9,NA,NA,252,151,402
Mar_23_90_FLM30_stem,0.019883279455792068,HM,0.021237520634216436,0.9718831936888749,3.3580971955617537e-212,0.019883279455792068,0.9722020443107282,273,307,578
Mar_23_93_FLM30_stem,-6.469247621489888e-5,LM,-6.469247621489888e-5,0.46574187877995543,1.0138871005428027e-52,NA,NA,375,15,388
Mar_23_137_CP40_stem,0.01916462634729808,HM,0.020151322642268647,0.9990164402803726,0,0.01916462634729808,0.999189416002829,255,301,555
Mar_23_14_BL60_stem,0.004915552956059246,LM,0.004915552956059246,0.926920210684845,1.467702330060345e-185,0.004687712511793127,0.8260503891790174,325,238,561
Oct_22_30_SRS6_root,0.0019903664404720112,LM,0.0019903664404720112,0.9821627724258506,3.291823647413195e-167,0.0016839345477125468,0.8347407581034333,191,14,204
Mar_23_81_FLM30_stem,0.0017858490587447189,HM,0.0021744630686323626,0.9813000318988081,4.584690441977142e-205,0.0017858490587447189,0.9836717252126129,237,8,244
Oct_22_25_SRS6_stem,0.0020579415431959645,LM,0.0020579415431959645,0.9897076202816911,6.277450139666538e-160,0.0018087330344355868,0.9098553542409618,161,429,589
Oct_22_237_BL60_stem,1.4551244921446132e-4,HM,1.6139589147474046e-4,0.3914283715387,8.086134152346993e-22,1.4551244921446132e-4,0.3916812983421938,188,7,194
