site,date,analyzer,n_traces,n_with_ebull,frac_with_ebull,total_obs_sec,total_jumps,jumps_per_hour,mean_diff_rate,total_ebull_ppm,total_rise_ppm,diffusive_ppm_hr,ebullitive_ppm_hr,ebull_frac_hourly
BL60,2022-10-25,Picarro,8,4,0.5,2296.425000667572,32,50.16493025747033,0.020621785753498694,18.902757836400003,28.390601121899998,74.2384287125953,29.632985266776778,0.28528527851427554
BL60,2023-03-16,LGR3,14,0,0,4573.349000930786,0,0,0.0020378002383374693,0,9.787420000000001,7.336080858014889,0,0
CP40,2022-10-23,LGR2,18,3,0.16666666666666666,4482.081000804901,26,20.883156726349014,0.005252883123401171,5.929690000000001,31.37393,18.910379244244215,4.762717138794788,0.2011869111556999
CP40,2023-03-15,LGR3,13,1,0.07692307692307693,7024.233999490738,1,0.5125113998566965,0.0011746335033725362,1.15779,6.2134899999999975,4.2286806121411304,0.5933805736400847,0.12305538042316483
FLM30,2022-10-18,Picarro,7,2,0.2857142857142857,2654.8259999752045,5,6.780105362900663,0.006437398964365983,3.1434374487999994,8.6578547684,23.17463627171754,4.262567420910331,0.15535721018303497
FLM30,2023-03-18,LGR1,19,1,0.05263157894736842,10638.560001134872,3,1.0151749859800487,9.30403511289624e-4,0.3697700000000004,9.043489999999998,3.3494526406426464,0.12512708485528098,0.03601214959525775
SE1,2023-03-17,LGR2,3,0,0,1398.4270000457764,0,0,1.3261569333726641e-4,0,0.2504599999999997,0.4774164960141591,0,0
SRS5,2023-03-12,LGR3,3,0,0,563.938000202179,0,0,1.5422970124519513e-4,0,0.10764000000000018,0.5552269244827025,0,0
SRS6,2023-03-11,LGR2,13,1,0.07692307692307693,4406.262000322342,8,6.53615241170251,0.002086466115888185,1.70972,6.06678,7.511278017197466,1.3968738126670017,0.15680848725366353
