n_points,duration_sec,CH4_total_rise_ppm,diffusive_rate_ppm_s,diffusive_rate_clean_ppm_s,lm_r2,n_jumps,total_ebullitive_ppm,max_jump_ppm,mean_jump_ppm,ebullitive_fraction,placement_id,analyzer,date,site,start_time,end_time,jump_thresh_used,season,excluded,trace_type,matched_flux_id
562,557.9939999580383,0.34384999999999977,5.902972099443972e-4,5.902972099443972e-4,0.993392687938397,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P01,LGR1,2023-03-18,FLM30,2023-03-18T11:01:16Z,2023-03-18T11:11:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
561,556.9669997692108,0.22364999999999968,3.862909924036914e-4,3.862909924036914e-4,0.9962850746932375,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P02,LGR1,2023-03-18,FLM30,2023-03-18T11:11:17Z,2023-03-18T11:21:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
561,556.9850001335144,0.23199999999999976,3.842642311096451e-4,3.842642311096451e-4,0.9891308576020865,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P03,LGR1,2023-03-18,FLM30,2023-03-18T11:21:17Z,2023-03-18T11:31:15Z,0.1,dry (Mar 2023),FALSE,additional,NA
562,557.9640002250671,0.22344000000000008,4.168247969171369e-4,4.168247969171369e-4,0.9961165927975176,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P04,LGR1,2023-03-18,FLM30,2023-03-18T11:31:16Z,2023-03-18T11:41:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
561,556.9680001735687,0.22655000000000003,4.238422809792618e-4,4.238422809792618e-4,0.9880163077300649,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P05,LGR1,2023-03-18,FLM30,2023-03-18T11:41:17Z,2023-03-18T11:51:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
561,556.9839999675751,0.17759999999999998,2.991604582710784e-4,2.991604582710784e-4,0.9931538822251472,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P06,LGR1,2023-03-18,FLM30,2023-03-18T11:51:17Z,2023-03-18T12:01:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
561,556.9719998836517,0.1824699999999999,3.357754704150058e-4,3.357754704150058e-4,0.9878267860348244,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P07,LGR1,2023-03-18,FLM30,2023-03-18T12:01:17Z,2023-03-18T12:11:15Z,0.1,dry (Mar 2023),FALSE,additional,NA
562,557.9789998531342,0.2154799999999999,2.7842044809874597e-4,2.7842044809874597e-4,0.9846196159744515,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P08,LGR1,2023-03-18,FLM30,2023-03-18T12:11:16Z,2023-03-18T12:21:16Z,0.1,dry (Mar 2023),FALSE,additional,NA
177,175.0479998588562,0.30072999999999994,0.0019919606026931437,0.0019919606026931437,0.9823749063267526,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P09,LGR1,2023-03-18,FLM30,2023-03-18T12:24:24Z,2023-03-18T12:28:01Z,0.1,dry (Mar 2023),FALSE,additional,NA
205,202.93099999427795,0.41793999999999976,0.0021047946769664977,0.0021047946769664977,0.9869280692146846,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P10,LGR1,2023-03-18,FLM30,2023-03-18T12:28:45Z,2023-03-18T12:32:49Z,0.1,dry (Mar 2023),FALSE,additional,NA
562,557.9739999771118,0.7052800000000001,0.0012595192945766315,0.0012595192945766315,0.9914462616169447,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P11,LGR1,2023-03-18,FLM30,2023-03-18T12:34:10Z,2023-03-18T12:44:10Z,0.1,dry (Mar 2023),FALSE,additional,NA
356,353.106999874115,0.48645000000000005,0.0013592190649174215,0.0013592190649174215,0.9960368206132899,0,0,NA,NA,0,LGR1_2023-03-18_FLM30_P12,LGR1,2023-03-18,FLM30,2023-03-18T12:44:11Z,2023-03-18T12:50:46Z,0.1,dry (Mar 2023),FALSE,processed,45003_FLM30_Water_147
